position,institution,location,num_conv,n_vac,payment,begin_date,end_date
COORDINADOR(A) EN GESTIÓN DE RIESGOS DE DESASTRES,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,000.00",20/06/2024,03/07/2024
COORDINADOR(A) DE TECNOLOGÍAS DE LA INFORMACIÓN,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,000.00",20/06/2024,03/07/2024
COORDINADOR(A) EN FORMULACIÓN DE PROYECTOS,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 4,000.00",20/06/2024,03/07/2024
COORDINADOR(A) TRIBUTARIO,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,000.00",20/06/2024,03/07/2024
ESPECIALISTA EN GESTIÓN DE RECURSOS HUMANOS,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 4,000.00",20/06/2024,03/07/2024
FISCALIZADOR(A) AMBIENTAL,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 2,000.00",20/06/2024,03/07/2024
OPERADOR(A) DE VIVERO MUNICIPAL,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,500.00",20/06/2024,03/07/2024
ESPECIALISTA EN CONTRATACIONES DEL IVP (SUPLENCIA),MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-2,1,"S/. 3,500.00",20/06/2024,03/07/2024
ANALISTA ADMINISTRATIVO,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 2,500.00",20/06/2024,03/07/2024
ANALISTA EN EJECUCIÒN DE INVERSIONES,MUNICIPALIDAD PROVINCIAL CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,500.00",20/06/2024,03/07/2024
