position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ABOGADO/A UD APURÍMAC,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-096,1,"S/. 4,500.00",18/06/2024,01/07/2024
CONTROL PREVIO,MUNICIPALIDAD DISTRITAL DE PACUCHA,APURIMAC - PACUCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-04,1,"S/. 2,200.00",17/06/2024,28/06/2024
TÉCNICO AGROPECUARIO,SERVICIO NACIONAL DE SANIDAD AGRARIA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-605,2,"S/. 2,314.19",14/06/2024,27/06/2024
ANALISTA INTERMEDIO EN SANIDAD ANIMAL,SERVICIO NACIONAL DE SANIDAD AGRARIA,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-606,1,"S/. 3,314.19",14/06/2024,27/06/2024
ESPECIALISTA ADMINISTRATIVO - APURIMAC,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-135,1,"S/. 6,000.00",13/06/2024,26/06/2024
COORDINADOR (A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD DE GESTION EDUCATIVA LOCAL-COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,2,S/. 001.00,12/06/2024,25/06/2024
PERSONAL DE LIMPIEZA Y MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL-COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,S/. 001.00,12/06/2024,25/06/2024
PSICÓLOGO (A),UNIDAD DE GESTION EDUCATIVA LOCAL-COTABAMBAS,APURIMAC - TAMBOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,4,S/. 001.00,12/06/2024,25/06/2024
ESPECIALISTA EN RACIONALIZACIÓN,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,APURIMAC - ANDAHUAYLAS,276-3,1,"S/. 2,709.00",12/06/2024,25/06/2024
ANALISTA DE SISTEMA PAD,UNIVERSIDAD NACIONAL JOSÉ MARÍA ARGUEDAS,APURIMAC - ANDAHUAYLAS,276-3,1,"S/. 2,709.00",12/06/2024,25/06/2024
COORDINADOR/A,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-156,1,"S/. 6,000.00",12/06/2024,25/06/2024
ENFERMERA/O,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-157,1,"S/. 2,000.00",12/06/2024,25/06/2024
