position,institution,location,num_conv,n_vac,payment,begin_date,end_date
TRABAJADOR DE SERVICIO III - 16068 JOSE CARLOS MARIATEGUI - SHUMBA ALTO COD. PLAZA: 1149213211A9,UNIDAD DE GESTION EDUCATIVA LOCAL JAEN,CAJAMARCA - BELLAVISTA,276-001,1,"S/. 2,366.68",20/06/2024,03/07/2024
ESPECIALISTA EN CONTRATACIONES Y ADQUISICIONES,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - INDETERMINADO-02,1,"S/. 2,114.19",20/06/2024,03/07/2024
INGENIERO DE CAMPO,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - INDETERMINADO-02,1,"S/. 2,614.19",20/06/2024,03/07/2024
SECRETARIA,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,214.19",20/06/2024,03/07/2024
SECRETARIA,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,214.19",20/06/2024,03/07/2024
TECNICO DE CAMPO,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CHOTA,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,414.19",20/06/2024,03/07/2024
VIGILANTE I,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CHOTA,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,139.19",20/06/2024,03/07/2024
SECRETARIA,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - CUTERVO,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,139.19",20/06/2024,03/07/2024
CHOFER,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - JAEN,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,314.19",20/06/2024,03/07/2024
TECNICO DE CAMPO,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - PEDRO GALVEZ,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,914.19",20/06/2024,03/07/2024
PROMOTOR AGROPECUARIO I,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - SAN MIGUEL,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,914.19",20/06/2024,03/07/2024
TECNICO DE CAMPO,DIRECCION REGIONAL AGRARIA CAJAMARCA,CAJAMARCA - SAN PABLO,D.LEG 1057 - INDETERMINADO-02,1,"S/. 1,914.19",20/06/2024,03/07/2024
