position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-047,1,"S/. 2,972.00",20/06/2024,03/07/2024
ESPECIALISTA EN GESTIÓN ADMINISTRATIVA,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL - OEFA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-077,1,"S/. 6,500.00",19/06/2024,02/07/2024
ESPECIALISTA EN INFRAESTRUCTURA,UNIDAD DE GESTION EDUCATIVA LOCAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 2,614.19",19/06/2024,02/07/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ADMISIONISTA PARA CEM HUAYTARA – HUANCAVELICA,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-326,1,"S/. 3,000.00",18/06/2024,01/07/2024
PADRON NOMINAL/ RIS CHURCAMPA,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-014,1,"S/. 2,419.14",18/06/2024,01/07/2024
MEDICO/PUESTO DE SALUD SAN MIGUEL DE MAYOCC,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - SAN MIGUEL DE MAYOCC,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 5,314.19",18/06/2024,01/07/2024
MEDICO/RIS CHURCAMPA,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 5,314.19",18/06/2024,01/07/2024
NUTRICIONISTA/ RIS CHURCAMPA,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 2,414.19",18/06/2024,01/07/2024
TRABAJADOR SOCIAL/CENTRO DE SALUD MENTAL COMUNITARIO CHURCAMPA,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 2,614.19",18/06/2024,01/07/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE EDUCACION DE HUANCAVELICA,HUANCAVELICA - ASCENSION,276-006,1,"S/. 2,603.65",18/06/2024,01/07/2024
TECNICO EN FARMACIA / CENTRO DE SALUD ANCO,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - ANCO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-014,1,"S/. 1,614.19",18/06/2024,01/07/2024
QUIMICO FARMACEUTICO/CENTRO DE SALUD CHURCAMPA,GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-014,1,"S/. 3,014.19",18/06/2024,01/07/2024
TECNICO ADMINISTRATIVO III,DIRECCION REGIONAL DE EDUCACION DE HUANCAVELICA,HUANCAVELICA - ASCENSION,276-006,1,"S/. 2,479.75",18/06/2024,01/07/2024
TECNICO EN LABORATORIO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - TINTAY PUNCU,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,800.00",17/06/2024,28/06/2024
MEDICO CIRUJANO,UNIDAD EJECUTORA 403 RED DE SALUD TAYACAJA,HUANCAVELICA - DANIEL HERNANDEZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 5,200.00",17/06/2024,28/06/2024
