position,institution,location,num_conv,n_vac,payment,begin_date,end_date
MEDICO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,JUNIN - SATIPO,276-3,1,"S/. 6,624.00",24/05/2024,06/06/2024
ASISTENTE ADMINISTRATIVO EN INNOVACIÓN ACADEMICA,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - EL TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,214.19",24/05/2024,06/06/2024
TÉCNICO ADMINISTRATIVO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - TARMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,500.00",24/05/2024,06/06/2024
INSTRUCTOR DEPORTIVO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - TARMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,364.19",24/05/2024,06/06/2024
CONDUCTOR,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - TARMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,000.00",24/05/2024,06/06/2024
BIBLIOTECARIO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - TARMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,500.00",24/05/2024,06/06/2024
UN (1) TÉCNICO DE CAMPO PARA EL ÁMBITO DEL ÁREA ZONAL JUNIN,CONSERVACION DE BOSQUES,JUNIN - SATIPO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 3,000.00",24/05/2024,06/06/2024
AUXILIAR DE CAMPO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - SATIPO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,164.19",24/05/2024,06/06/2024
TÉCNICO LABORATORISTA,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - RIO NEGRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,714.19",24/05/2024,06/06/2024
ENFERMERO (A),UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - RIO NEGRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,500.00",24/05/2024,06/06/2024
BIBLIOTECARIO,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERU,JUNIN - RIO NEGRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,500.00",24/05/2024,06/06/2024
PROFESIONAL II PARA EQUIPO ITINERANTE DE CONVIVENCIA,UGE JUNIN,JUNIN - JUNIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-06,1,"S/. 2,914.19",24/05/2024,06/06/2024
COORDINADOR(A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UGE JUNIN,JUNIN - JUNIN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-06,1,"S/. 1,464.19",24/05/2024,06/06/2024
