position,institution,location,num_conv,n_vac,payment,begin_date,end_date
AGENTE DE SEGURIDAD,UNIDAD EJECUTORA PROGRAMA NACIONAL DE CENTROS JUVENILES-PRONACEJ,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (SUPLENCIA)-014,1,"S/. 1,414.19",24/05/2024,06/06/2024
TECNICO NECROPSIADOR,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,UCAYALI - PADRE ABAD,728-5,5,"S/. 3,701.11",24/05/2024,06/06/2024
PSICOLOGO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,UCAYALI - PURUS,728-3,1,"S/. 4,751.11",24/05/2024,06/06/2024
MEDICO,INSTITUTO DE MEDICINA LEGAL Y CIENCIAS FORENSES,UCAYALI - CALLERIA,276-3,1,"S/. 6,624.00",24/05/2024,06/06/2024
ASISTENTE ADMINISTRATIVO,INSTITUTO NACIONAL DE DEFENSA CIVIL,UCAYALI - CAMPOVERDE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-190,1,"S/. 3,000.00",23/05/2024,05/06/2024
TECNICO ESPECIALIZADO,SEGURO SOCIAL DE SALUD,UCAYALI - CALLERIA,728-003,1,"S/. 4,050.00",22/05/2024,04/06/2024
INVESTIGADOR/A EN ACUICULTURA.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,UCAYALI - YARINACOCHA,728-03,1,"S/. 2,257.37",22/05/2024,04/06/2024
MEDICO GENERAL,SEGURO SOCIAL DE SALUD,UCAYALI - CALLERIA,728-003,1,"S/. 7,572.00",22/05/2024,04/06/2024
PROCESO CAS N°025-2024-ITP - ASISTENTE DE CAPACITACIÓN Y ASISTENCIA TÉCNICA EN ACUICULTURA,INSTITUTO TECNOLOGICO DE LA PRODUCCION,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-025,1,"S/. 3,500.00",21/05/2024,03/06/2024
PROCESO CAS N°022-2024-ITP - ASISTENTE DE DIFUSIÓN DE LA INFORMACIÓN,INSTITUTO TECNOLOGICO DE LA PRODUCCION,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-22,1,"S/. 3,000.00",21/05/2024,03/06/2024
PSICOLOGO (A),DIRECCION REGIONAL DE EDUCACION DE UCAYA,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 3,168.86",20/05/2024,31/05/2024
TECNICO(A) ADMINISTRATIVO,DIRECCION REGIONAL DE EDUCACION DE UCAYA,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-007,1,"S/. 1,414.19",20/05/2024,31/05/2024
TÉCNICO DE ATENCIÓN AL AFILIADO UUDD CUARTA ZONA NAVAL,IAFAS DE LA MARINA DE GUERRA DEL PERU,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 2,000.00",17/05/2024,30/05/2024
ASISTENTE ADMINISTRATIVO PARA LA DIRECCIÓN DISTRITAL DE DEFENSA PÚBLICA Y ACCESO A LA JUSTICIA,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-431,1,"S/. 3,064.19",17/05/2024,30/05/2024
DEFENSOR PUBLICO EN EL NUEVO CODIGO PROCESAL PENAL (ESPECIALIZADO EN DERECHOS HUMANOS E INTERCULTURALIDAD)PARA LA DIRECCIÓN GENERAL DE DEFENSA PÚBLICA Y ACCESO A LA JUSTICIA,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-427,1,"S/. 7,114.19",17/05/2024,30/05/2024
ASISTENTE LEGAL PARA LA DIRECCION GENERAL DE DEFENSA PUBLICA Y ACCESO A LA JUSTICIA (UCAYALI),MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-417,1,"S/. 2,114.19",17/05/2024,30/05/2024
ABOGADO REGISTRAL,ZONA REGISTRAL N°VI- SEDE PUCALLPA,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 3,200.00",16/05/2024,29/05/2024
ORIENTADOR/A DEL CENTRO MAC UCAYALI,PRESIDENCIA DEL CONSEJO DE MINISTROS,UCAYALI - YARINACOCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-083,1,"S/. 2,500.00",16/05/2024,29/05/2024
OBSTETRA,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,000.00",15/05/2024,28/05/2024
NUTRICIONISTA,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,000.00",15/05/2024,28/05/2024
MEDICO CIRUJANO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,7,"S/. 5,200.00",15/05/2024,28/05/2024
ENFERMERA/O ESPECIALISTA,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,600.00",15/05/2024,28/05/2024
ENFERMERA/O,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,200.00",15/05/2024,28/05/2024
ENFERMERA/O,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 2,900.00",15/05/2024,28/05/2024
ENFERMERA/O,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 2,500.00",15/05/2024,28/05/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN/A TÉCNICO INFORMÁTICO PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN UCAYALI - PLAZO DETERMINADO (003977),MINISTERIO DE EDUCACION,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-444,1,"S/. 2,500.00",15/05/2024,28/05/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DOCENTE PARA LA ENSEÑANZA DE LA ASIGNATURA DE INGLÉS PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN UCAYALI - PLAZO DETERMINADO (006371),MINISTERIO DE EDUCACION,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-423,1,"S/. 4,500.00",15/05/2024,28/05/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DIRECTOR/A ACADÉMICO/A PARA EL COLEGIO DE ALTO DE RENDIMIENTO DE LA REGIÓN UCAYALI - PLAZO DETERMINADO (004680),MINISTERIO DE EDUCACION,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-383,1,"S/. 6,500.00",15/05/2024,28/05/2024
AUXILIAR EN COMPUTACION E INFORMATICA,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 1,025.00",15/05/2024,28/05/2024
AUXILIAR ASISTENCIAL,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,650.00",15/05/2024,28/05/2024
AUXILIAR ADMINISTRATIVO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 1,025.00",15/05/2024,28/05/2024
ASISTENTE DE RECURSOS HUMANOS,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,275.00",15/05/2024,28/05/2024
ASISTENTE DE RECURSOS HUMANOS,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,2,"S/. 1,900.00",15/05/2024,28/05/2024
ASISTENTE ADMINISTRATIVO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,300.00",15/05/2024,28/05/2024
ASISTENTE ADMINISTRATIVO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 2,200.00",15/05/2024,28/05/2024
ASISTENTE ADMINISTRATIVO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 1,900.00",15/05/2024,28/05/2024
ABOGADO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,200.00",15/05/2024,28/05/2024
PSICOLOGO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 2,800.00",15/05/2024,28/05/2024
PSICOLOGO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,200.00",15/05/2024,28/05/2024
PSICOLOGO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,900.00",15/05/2024,28/05/2024
PSICOLOGO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,5,"S/. 3,500.00",15/05/2024,28/05/2024
PSICOLOGO,DIRECCION REGIONAL DE SALUD UCAYALI,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,9,"S/. 2,500.00",15/05/2024,28/05/2024
