url_convocatoria,Cantidad De Vacantes:,Número De Convocatoria:,Remuneración:,Fecha Inicio De Publicación:,Fecha Fin De Publicación:,Experiencia:,Formación Académica - Perfil:,Especialización:,Conocimiento:,Competencias:,position,institution,uuid
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 1,800.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  01 AÑO EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 06 MESES DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","-	TÉCNICO EN LAS CARRERAS DE ADMINISTRACIÓN, CONTABILIDAD, COMPUTACIÓN E INFORMÁTICA Y/O CARRERAS AFINES.",NINGUNA,-	CONOCIMIENTOS TÉCNICOS RESPECTO AL MANEJO DE OFIMÁTICA.,"-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA.",AUXILIAR DE ABASTECIMIENTO,Municipalidad Provincial Bagua,bc32c6b1-ca72-5f40-a293-12cbecaac233
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 3,000.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  02 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS CON EL SISTEMA DE MANEJO DE LOGÍSTICA, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","-	TÍTULO PROFESIONAL, BACHILLER O TÉCNICO EN LAS CARRERAS DE ADMINISTRACIÓN, CONTABILIDAD, COMPUTACIÓN Y/O CARRERAS AFINES.",NINGUNA,-	CONOCIMIENTOS EN PROCESO DE COTIZACIÓN DE PRECIOS DE BIENES O SERVICIOS QUE SE NECESITAN EN LOS GOBIERNOS LOCALES.,"-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA, BUENA REDACCIÓN.",COTIZADOR,Municipalidad Provincial Bagua,b6910980-d6db-50d5-af61-0374ceaa79cf
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 2,000.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  02 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","TÍTULO PROFESIONAL, BACHILLER O TÉCNICO EN LAS CARRERAS DE ADMINISTRACIÓN, CONTABILIDAD, ECONOMÍA Y/O CARRERAS AFINES.",NINGUNA,"-	CONOCIMIENTOS TÉCNICOS, RESPECTO AL MANEJO DE BIENES PATRIMONIALES.","-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA, BUENA REDACCIÓN.",TÉCNICO ADMINISTRATIVO DE ALMACÉN,Municipalidad Provincial Bagua,30357067-8864-5cd6-9a83-ff78af301dab
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 3,000.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  05 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 03 AÑOS DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.",-	TITULO UNIVERSITARIO EN LA CARRERA PROFESIONAL DE CONTABILIDAD.,NINGUNA,-	CONTAR CON CONOCIMIENTOS EN LA GESTIÓN PÚBLICA EN GOBIERNOS LOCALES.,"-	CAPACIDAD ANALÍTICA PARA LA TOMA DE DECISIONES, FACILIDAD DE COMUNICACIÓN ORAL Y ESCRITA, POSEER LIDERAZGO Y DON DE MANDO, CAPACIDAD PARA RELACIONARSE A TODO NIVEL, CAPACIDAD DE INNOVACIÓN, SOLVENCIA ÉTICA Y MORAL.",ESPECIALISTA DE CONTABILIDAD,Municipalidad Provincial Bagua,78b83dd3-155b-5bb7-a082-a40feb5ac19b
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 3,000.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  01 AÑO EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES, 08 MESES DE EXPERIENCIA EN EL SECTOR PÚBLICO.",-	TITULO PROFESIONAL EN LAS CARRERAS DE INGENIERÍA DE SISTEMAS O INGENIERÍA INFORMÁTICA Y/O AFINES.,NINGUNA,-	CONOCIMIENTO EN GESTIÓN MUNICIPAL. -	PROGRAMAS DE SISTEMA DE GESTIÓN DE RECURSOS HUMANOS.,"-	PROACTIVIDAD E INTEGRIDAD, CAPACIDAD ANALÍTICA Y ESCUCHA ACTIVA.",JEFE DE OFICINA DE TECNOLOGIA DE LA INFORMACIÓN.,Municipalidad Provincial Bagua,043cef83-aa4d-5c35-8ccb-be10233bd1db
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 5,100.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  05 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 03 AÑOS DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES.","-	TÍTULO PROFESIONAL EN LAS CARRERAS DE INGENIERÍA CIVIL, AMBIENTAL, AGRÍCOLA O CARRERAS A FIN.",NINGUNA,-	CONTAR CON AMPLIOS CONOCIMIENTOS DE GESTIÓN PÚBLICA EN GOBIERNOS LOCALES.,"-	CAPACIDAD ANALÍTICA PARA LA TOMA DE DECISIONES, FACILIDAD DE COMUNICACIÓN ORAL Y ESCRITA, POSEER LIDERAZGO Y DON DE MANDO, CAPACIDAD PARA RELACIONARSE A TODO NIVEL, CAPACIDAD DE INNOVACIÓN, SOLVENCIA ÉTICA Y MORAL.",GERENTE DE INSTITUTO VIAL PROVINCIAL.,Municipalidad Provincial Bagua,7dc67a73-c2fe-5384-802d-5e9ac9c1c282
https://www.gob.pe/munibagua,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-02,"S/. 2,000.00",07/10/2024,21/10/2024,"-	EXPERIENCIA GENERAL:  02 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO EN FUNCIONES RELACIONADOS AL CARGO, DEBIDAMENTE COMPROBADOS.
-	EXPERIENCIA ESPECÍFICA: 01 AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO EN ´PUESTOS SIMILARES O EQUIVALENTES EN FUNCIÓN DEL PUESTO.",-	BACHILLER Y/O TITULADO EN LAS CARRERAS DE DERECHO Y CIENCIAS POLÍTICAS.,NINGUNA,-	CONOCIMIENTO EN FISCALIZACIÓN EN LA GESTIÓN PÚBLICA.,"-	RESPONSABLE, PROACTIVO, PUNTUALIDAD Y TRABAJO EN EQUIPO.",FISCALIZADOR.,Municipalidad Provincial Bagua,c511534f-ef44-569c-9684-efcb01603245
https://www.gob.pe/institucion/ugelutcubamba/informes-publicaciones,1,276-13,"S/. 2,088.45",04/10/2024,18/10/2024,"EXPERIENCIA GENERAL: EXPERIENCIA LABORAL YA SEA EN EL SECTOR PÚBLICO O PRIVADO, DE ACUERDO A LA FICHA DE EVALUACIÓN DE PERSONAL – GRUPO TÉCNICO.
EXPERIENCIA ESPECÍFICA: EXPERIENCIA LABORAL EN EL SECTOR PÚBLICO O PRIVADO, EN FUNCIÓN AL PUESTO REQUERIDO, DE ACUERDO A LA FICHA DE EVALUACIÓN DE PERSONAL – TÉCNICO.","PROFESIONAL TÉCNICO EN CONTABILIDAD, ADMINISTRACIÓN, COMPUTACIÓN E INFORMÁTICA U OTRO TÍTULO PROFESIONAL TÉCNICO RELACIONADO CON EL CARGO.",NO APLICA,"CONOCIMIENTOS SOBRE DOCUMENTOS DE GESTIÓN: TUPA, MAPRO, MOF, ROF, MOP, RI. CONOCIMIENTOS SOBRE LOS PLAZOS, SEGÚN LA LEY N° 27444, LEY DEL PROCEDIMIENTO ADMINISTRATIVO GENERAL. MANEJO DE COMPUTADORA A NIVEL USUARIO Y DE APLICATIVOS INFORMÁTICOS RELACIONADOS CON LA ACTIVIDAD.","EMPATÍA, COMUNICACIÓN, TOLERANCIA, ORDEN, TRABAJO EN EQUIPO.",TECNICO ADMINISTRATIVO III,Unidad De Gestion Educativa Local De Utcubamba - Ugel-Utcubamba,a2ea7e3d-1c46-5615-83c8-9006dd886296
https://portal.indeci.gob.pe/oportunidades/,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-311,"S/. 4,000.00",03/10/2024,17/10/2024,"•	EXPERIENCIA LABORAL GENERAL 
EXPERIENCIA GENERAL NO MENOR DE DOS (02) AÑO EN EL SECTOR PÚBLICO Y/O PRIVADO.
•	EXPERIENCIA LABORAL ESPECIFICA
UN (01) AÑO DE EXPERIENCIA EN LA FUNCIÓN O MATERIA EN EL NIVEL MÍNIMO DE PUESTO DE ASISTENTE.
UN (01) AÑO DE EXPERIENCIA EN EL SECTOR PÚBLICO",•	BACHILLER UNIVERSITARIO EN INGENIERÍA CIVIL Y/O INGENIERÍA AMBIENTAL Y/O ARQUITECTURA Y/O INGENIERÍA AGRÓNOMA Y/O INGENIERÍA AGRÍCOLA Y/O INGENIERÍA INDUSTRIAL.,•	CURSO Y/O PROGRAMA DE ESPECIALIZACIÓN EN GESTIÓN DE REACTIVA DEL RIESGO DE DESASTRES,"•	CONOCIMIENTOS EN LA FORMULACIÓN Y EVALUACIÓN DE PROYECTOS DE INVERSIÓN PÚBLICA, EN EL MARCO DEL INVIERTE PE Y SOBRE LA LEY DE CONTRATACIONES DEL  •	ESTADO. •	CONOCIMIENTO EN CENTRO DE OPERACIONES DE EMERGENCIA - COE •	CONOCIMIENTO EN SISTEMAS DE INFORMACIÓN GEOGRÁFICA (ARCGIS). •	CONOCIMIENTOS SOBRE GESTIÓN DE RIESGOS DE DESASTRES. •	CONOCIMIENTO EN LA GESTIÓN PÚBLICA. •	CONOCIMIENTO EN OFIMÁTICA (WORD, EXCEL Y/O POWERPOINT) A NIVEL INTERMEDIO •	CONOCIMIENTO EN IDIOMAS INGLES A NIVEL INTERMEDIO.",COMPETENCIA COGNOSCITIVA O INTELECTUAL •	COMPETENCIA PROFESIONAL •	PLANEAMIENTO COMPETENCIA DE EFICACIA PERSONAL.  •	RELACIONES DE TRABAJO •	COMUNICACIÓN. COMPETENCIA DE LOGRO Y ACCIÓN •	INICIATIVA,ANALISTA EN GESTION DE RIESGO DE DESASTRES,Instituto Nacional De Defensa Civil,c33e79c0-75f3-5fbc-ae0c-27e2eda6f7a3
extranet.cunamas.gob,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-1177,"S/. 3,514.19",01/10/2024,15/10/2024,"EXPERIENCIA LABORAL GENERAL DE 3 AÑOS EN EL SECTOR PÚBLICO Y/O PRIVADO
•	EXPERIENCIA LABORAL ESPECIFICA DE DOS (02) AÑOS EN GESTIÓN Y/O ASISTENCIA ADMINISTRATIVA Y/O EN ABASTECIMIENTO Y/O EN LOGÍSTICA Y/O EN CONTABILIDAD Y/O EN TESORERÍA Y/O EN PLANEAMIENTO Y PRESUPUESTO, EN EL SECTOR PÚBLICO O PRIVADO","•	TÍTULO PROFESIONAL O BACHILLER UNIVERSITARIO EN ADMINISTRACIÓN, ECONOMÍA, CONTABILIDAD, DERECHO, NEGOCIOS INTERNACIONALES, INGENIERÍA INDUSTRIAL, INGENIERÍA TEXTIL, INGENIERÍA CIVIL, ARQUITECTURA.",•	CURSO EN GESTIÓN PÚBLICA Y/O ADMINISTRACIÓN PÚBLICA Y/O GESTIÓN DE RIESGO Y/O CONTRATACIONES DEL ESTADO Y/O PLANEAMIENTO ESTRATÉGICO.,"•	CONOCIMIENTO EN OFIMÁTICA NIVEL BÁSICO (WORD, EXCEL, POWER POINT). •	DISPONIBILIDAD PARA VIAJAR DENTRO Y FUERA DEL DEPARTAMENTO CUANDO EL SERVICIO LO AMERITE","•	PLANIFICACIÓN, ANÁLISIS, CONTROL, COMUNICACIÓN ORAL.",ESPECIALISTA EN EQUIPAMIENTO,Programa Nacional Cuna Mas,494e2ce1-b9c2-5acb-a3dc-a665c590e483
