position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
"SUPERVISOR DE CONSERVACION Y SERVICIOS II
",UNIDAD DE GESTION EDUCATIVA LOCAL HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,276-10,1,S/. 965.67,11/10/2024,24/10/2024,de79b31c-cfca-41ab-bcbf-ac41d13f8fdb
"ESPECIALISTA ADMINISTRATIVO
",GERENCIA SUB REGIONAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-23,1,"S/. 2,114.19",11/10/2024,24/10/2024,afab3b59-2ec3-45ef-97c4-3464f81f82c0
"DEFENSOR PÚBLICO EN EL NUEVO CÓDIGO PROCESAL PENAL
",MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-888,1,"S/. 5,114.19",11/10/2024,24/10/2024,d048c44a-0ae4-4bd2-9ae0-a31ef19863c2
"TÉCNICA EN ENFERMERÍA
",GERENCIA SUB REGIONAL HUAYTARA,HUANCAVELICA - HUAYTARA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-9,1,"S/. 1,800.00",10/10/2024,23/10/2024,5b52d16f-bc3e-47eb-84d5-21497b6279f5
"ENFERMERA/O
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,900.00",07/10/2024,21/10/2024,a3908271-f7a1-4cd9-b98a-2c50efeeaddc
"RESPONSABLE DE CONTABILIDAD
",MUNICIPALIDAD PROVINCIAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 2,800.00",07/10/2024,21/10/2024,536f2de2-01d8-40f6-97cd-e718e430e30e
"ESPECIALISTA EN SIAF SIGA - LOGISTICA
",MUNICIPALIDAD PROVINCIAL CHURCAMPA,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-7,1,"S/. 1,700.00",07/10/2024,21/10/2024,ccf88c36-3ddb-45b2-a40c-804bc06a078c
"MEDICO CIRUJANO
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 5,200.00",07/10/2024,21/10/2024,07ae9140-94fe-485f-80fe-02f17a7a50e9
"TECNICO EN LABORATORIO
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - PAUCARA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 1,800.00",07/10/2024,21/10/2024,fed5264b-2c87-4666-b309-84c5236eea63
"ENFERMERA/O
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - MARCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,300.00",07/10/2024,21/10/2024,77fd4338-d9dc-43d4-9527-b94e1533af65
"CIRUJANO DENTISTA
",UNIDAD EJECUTORA 404 RED DE SALUD ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,300.00",07/10/2024,21/10/2024,45dd42e7-9d71-48bf-a3f3-d61ac6919b3e
"ESPECIALISTA ASISTENTA SOCIAL
",UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0008,1,"S/. 2,400.00",04/10/2024,18/10/2024,c55f20b8-0cb6-4d49-bf3b-3c2407d4b6da
"TÉCNICO/A EN ENFERMERÍA
",MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-272,1,"S/. 2,000.00",04/10/2024,18/10/2024,6b88ed28-62e0-45da-9104-def2936400c9
"ANALISTA EN GESTION DEL RIESGO DE DESASTRES
",INSTITUTO NACIONAL DE DEFENSA CIVIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-317,1,"S/. 4,000.00",03/10/2024,17/10/2024,96654306-e534-4d56-8e73-0f7a954f2bf5
"ASISTENTE ADMINISTRATIVO I
",INSTITUTO NACIONAL DE DEFENSA CIVIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-302,1,"S/. 2,500.00",03/10/2024,17/10/2024,029b9b1d-83c0-4f1e-b35c-84929ec550ba
"ANALISTAII (MÉDICO)
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,728-004,1,"S/. 6,931.00",02/10/2024,16/10/2024,ee6bf148-6ff6-4172-87e0-33ffe8eb03b4
"AUXILIAR EN ARCHIVO
",PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1169,1,"S/. 1,614.19",01/10/2024,15/10/2024,7e08a07a-80a1-4a58-ad26-801f4e3e3661
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS
",PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - CHURCAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1130,1,"S/. 2,814.19",01/10/2024,15/10/2024,9f588580-497e-4320-9530-9d7d4eca973c
"ASESOR LEGAL (CÓDIGO AIRHSP 000831)
",GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-17,1,"S/. 3,000.00",30/09/2024,14/10/2024,94b35458-0cfb-47e1-bded-4ad70b26d153
"ASISTENTE JURISDICCIONAL
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 2,572.00",30/09/2024,14/10/2024,ad1484d9-dcfd-4e35-9e2d-b01d845670d0
"ANALISTA
",PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-030,1,"S/. 3,722.00",30/09/2024,14/10/2024,24fc0b69-793e-4258-b280-c27bd35a87c7
"AUXILIAR ADMINISTRATIVO
",DEFENSORIA DEL PUEBLO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-101,1,"S/. 2,800.00",30/09/2024,14/10/2024,4ad384ce-eb32-4a64-95b8-0323a65a54fb
"""ESPECIALISTA EN FISCALIZACION DE ASPECTOS OPERACIONALES DE LA OFICINA DESCONCENTRADA DE SERVICIOS (ODS) EN HUANCAVELICA""
",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-255,1,"S/. 9,000.00",30/09/2024,14/10/2024,501b175e-f456-4096-b597-3851e75e1ba2
"LICENCIADO EN ENFERMERIA
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,300.00",27/09/2024,11/10/2024,c472fad0-6170-4731-8cae-75a8303c9389
"MEDICO CIRUJANO
",UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,4,"S/. 5,200.00",27/09/2024,11/10/2024,c78c8c88-72b5-4c67-a4f0-5a2ed4f11c6e
