job_posting_url,vacancies,job_posting_number,salary,start_publication_date,end_publication_date,required_experience,educational_background,specialization,required_knowledge,skills,job_title,public_institution,unique_id,ubication,scraping_date,ubication_region,ubication_dist
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-8,3901.11,18/10/2024,31/10/2024,01 AÑO DE EXPERIENCIA LABORAL GENERAL,ESTUDIOS UNIVERSITARIOS A PARTIR DEL 4TO AÑO (8° CICLO) EN LA CARRERA DE DERECHO,"""CONTAR CON CURSO, TALLER Y/O SEMINARIO EN DERECHO DE FAMILIA Y/O DERECHO CIIVIL / . NO MENOR DE DOCE (12) HORAS ACADÉMICAS, ACUMULABLE.  ""","""TEXTO ÚNICO ORDENADO DE LA LEY DEL PROCEDIMIENTO GENERAL  REDACCIÓN JURIDICA """,""" VOCACIÓN DE SERVICIO  ORIENTACIÓN A RESULTADOS  TRABAJO EN EQUIPO  COMUNICACIÓN ASERTIVA""",ASISTENTE ADMINISTRATIVO,Ministerio Publico-Gerencia General,09a05d93-91c7-4ae6-8fa8-ffd2f5d4bf3b,APURIMAC - COTABAMBAS,19-10-2024,APURIMAC,COTABAMBAS
https://portal.mpfn.gob.pe/convoca/convocatorias,1,728-8,4672.11,18/10/2024,31/10/2024,"02 AÑOS 	DE EXPERIENCIA LABORAL GENERAL																													
01 AÑO DE EXPERIENCIA LABORAL ESPECÍFICA",CONSTANCIA DE BACHILLER UNIVERSITARIO EN DERECHO,"CURSO, TALLER Y/O SEMINARIO ENTRE OTROS, EN DERECHO CIVIL Y/O DERECHO PROCESAL CIVIL Y/O  DERECHO DE FAMILIA Y LA LEY 30364 (LEY PARA PREVENIR, SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR)   NO MENOR A DOCE (12) HORAS ACADÉMICAS. ACUMULABLE.","""TEXTO ÚNICO ORDENADO DE LA LEY DEL PROCEDIMIENTO GENERAL REDACCIÓN JURIDICA""",""" VOCACIÓN DE SERVICIO  ORIENTACIÓN A RESULTADOS  TRABAJO EN EQUIPO  COMUNICACIÓN ASERTIVA""",ASISTENTE EN FUNCIÓN FISCAL,Ministerio Publico-Gerencia General,3e478b73-762f-4ad8-b539-5131c9d164de,APURIMAC - CHALHUANCA,19-10-2024,APURIMAC,CHALHUANCA
https://www.gob.pe/ugelandahuaylas,1,276-003,1180.0,18/10/2024,31/10/2024,"EXPERIENCIA GENERAL: 03 AÑOS
EXPERIENCIA ESPECIFICA: 02 AÑOS.","TITULO PROFESIONAL UNIVERSITARIO EN ADMINISTRACIÓN, RELACIONES INDUSTRIALES, CONTABILIDAD, DERECHO, ECONOMIA O INGENIERIA INDUSTRIAL",CURSO O TALLER EN CONTRATACIONES Y ADQUISICIONES CON EL ESTADO,LEY DE CONTRATACIONES VIGENTE Y SIGA - MEF - MÓDULO DE LOGÍSTICA.,"ANÁLISIS, ORGANIZACIÓN DE LA INFORMACIÓN, PLANIFICACIÓN Y CONTROL.",ESPECIALISTA ADMINISTRATIVO EN ABASTECIMIENTOS,Unidad De Gestion Educativa De Andahuaylas,5e9ce700-8874-4b1c-9539-780b5a76e941,APURIMAC - ANDAHUAYLAS,19-10-2024,APURIMAC,ANDAHUAYLAS
https://www.gob.pe/ugelandahuaylas,1,276-002,801.5,18/10/2024,31/10/2024,NO ES NECESARIA,TÍTULO PROFESIONAL TÉCNICO EN COMPUTACIÓN E INFORMÁTICA,NO ES NECESARIA,NO ES NECESARIA,ORIENTACIÓN AL USUARIO Y CAPACIDAD DE ANÁLISIS,OPERADOR PAD,Unidad De Gestion Educativa De Andahuaylas,bc2c8553-3ca7-4797-9168-a72a88370e3c,APURIMAC - ANDAHUAYLAS,19-10-2024,APURIMAC,ANDAHUAYLAS
https://http://convocatorias.juntos.gob.pe:8080/postula/inicio,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-1,2000.0,18/10/2024,31/10/2024,"- EXPERIENCIA GENERAL DE DOS (02) AÑOS EN EL SECTOR 
PÚBLICO Y/O PRIVADO.
- EXPERIENCIA ESPECÍFICA MÍNIMA DE UN (01) AÑO A 
PARTIR DEL NIVEL MÍNIMO DE PRACTICANTE PROFESIONAL 
EN FUNCIONES SIMILARES AL PUESTO, EN PROGRAMAS O 
PROYECTOS RELACIONADOS A LA INFANCIA, NIÑEZ, 
ADOLESCENCIA, FAMILIAS O COMUNIDADES.","TÍTULO TÉCNICO SUPERIOR O EGRESADO UNIVERSITARIO, O  BACHILLER O TÍTULO UNIVERSITARIO EN TODAS LAS  CARRERAS.",CURSO EN CAPACITACIÓN DE ADULTOS O DESARROLLO  COMUNITARIO O GESTIÓN PÚBLICA O RESOLUCIÓN DE  CONFLICTOS O LIDERAZGO O RELACIONADOS A TEMAS DE  SALUD MATERNO INFANTIL O DESARROLLO INFANTIL  TEMPRANO (DIT) O CURSOS RELACIONADOS AL ACCESO  DE LA EDUCACIÓN INICIAL - (8 HORAS),- CONOCIMIENTO DE LA ZONA DE INTERVENCIÓN. - CONOCIMIENTO DE OFIMÁTICA A NIVEL BÁSICO.,- MANEJO DE EQUIPOS - VOCACIÓN DE SERVICIO - ORIENTACIÓN A RESULTADOS - RELACIONES INTERPERSONALES - INTEGRIDAD Y COMPORTAMIENTO ÉTICO,GESTOR LOCAL PARA LA UNIDAD TERRITORIAL APURIMAC,Programa Nacional De Apoyo Directo A Los Mas Pobres,731a35d4-1806-4c55-a6aa-72d373b6dc07,APURIMAC - ABANCAY,19-10-2024,APURIMAC,ABANCAY
https://www.dreapurimac.gob.pe,24,D.Leg 1057 - Determinado (Necesidad Transitoria)-15,1265.0,18/10/2024,31/10/2024,2 AÑOS,SECUNDARIA COMPLETA,.,.,"ATENCION, ANALISIS ,EMPATIA",PERSONAL DE VIGILANCIA,Direc. Regional De Educacion De Apurimac,2079e573-94f6-4ac4-b6b7-180ae305968f,APURIMAC - ABANCAY,19-10-2024,APURIMAC,ABANCAY
https://www.diresaapurimac.gob.pe/,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-008,2920.0,17/10/2024,30/10/2024,DOS (01) AÑOS DE EXPERIENCIA LABORAL EN INSTITUCIONES PÚBLICAS Y/O PRIVADAS EN EL DESEMPEÑO DE FUNCIONES DE LA PROFESIÓN,TÍTULO PROFESIONAL UNIVERSITARIO DE LICENCIADO EN PSICOLOGIA,PSICOLOGO,CONOCIMIENTO DE LA ENTREVISTA MOTIVACIONAL PARA EL TEMA DE PERSONAS CON CONSUMO NOCIVO DE SUSTANCIAS PSICOACTIVAS Y ADICCIONES,"EMPATÍA, COMUNICACIÓN ORAL, CONFIABILIDAD Y CAPACIDAD PARA RESOLVER PROBLEMAS",PSICOLOGO,Direccion Regional De Salud Apurimac,ad53fcd7-0130-4866-b529-c9b5745ef427,APURIMAC - ABANCAY,19-10-2024,APURIMAC,ABANCAY
https://www.facebook.com/REDDESALUDAYMARAES,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-003,6493.0,16/10/2024,29/10/2024,"EXPERIENCIA LABORAL MÍNIMO DE DOS (03) AÑOS EN EL SECTOR PÚBLICO O PRIVADO (02 AÑOS COMO MÍNIMO EN EL SECTOR PÚBLICO), INCLUIDO EL SERUMS, COMO NUTRICIONISTA.",TÍTULO PROFESIONAL DE NUTRICIONISTA RESOLUCIÓN DE TÉRMINO DE SERUMS.  CAPACITACIÓN EN TEMAS DE CALIDAD.  NO CONTAR CON ANTECEDENTES PENALES NI JUDICIALES. NO HABER SIDO SUSPENDIDO Y/O DESTITUIDO DE ENTIDADES PÚBLICAS O PRIVADAS POR ACTOS DE CORRUPCIÓN.,CURSOS RELACIONADOS O AFINES A LA PROFESIÓN DE LIC. NUTRICIÓN.,MANEJO DEL QUECHUA EN NIVEL BÁSICO.,"1. CAPACIDAD DE COORDINACIÓN, ORGANIZACIÓN Y CONTROL DE LOS RECURSOS ASIGNADOS. 2. CAPACIDAD DE LIDERAZGO ORIENTADO AL LOGRO DE OBJETIVOS INSTITUCIONALES. 3. CAPACIDAD PARA TRABAJAR EN EQUIPO Y BAJO PRESIÓN. 4. CAPACIDAD DE INNOVACIÓN Y APRENDIZAJE. 5. ACTITUD PROACTIVA Y CON ORIENTACIÓN A RESULTADOS. 6. ACTITUD DE ATENCIÓN Y SERVICIO AL USUARIO INTERNO Y EXTERNO.",PROFESIONAL NUTRICIONISTA,Red De Salud Aymaraes,05f0cb83-8a4d-43b2-93d9-65fb7f498179,APURIMAC - CHALHUANCA,19-10-2024,APURIMAC,CHALHUANCA
https://www.facebook.com/REDDESALUDAYMARAES,1,D.Leg 1057 - Determinado (Necesidad Transitoria)-003,8334.0,16/10/2024,29/10/2024,"EXPERIENCIA ESPECIFICA MEDICINA FAMILIAR DE (01) AÑO Y EXPERIENCIA GENERAL 03 AÑOS COMO MÉDICO GENERAL EN EL SECTOR PÚBLICO O PRIVADO (02 AÑOS COMO MÍNIMO EN EL SECTOR PÚBLICO), INCLUIDO EL SERUMS.","TÍTULO PROFESIONAL DE MÉDICO CIRUJANO, CON ESPECIALIDAD EN MEDICINA FAMILIAR.  TÍTULO: ESPECIALIDAD CONSTANCIA/ HABILIDAD VIGENTE.  RESOLUCIÓN DE TÉRMINO DE SERUMS.",CURSOS RELACIONADOS O AFINES A LA ESPECIALIDAD.,MANEJO DEL QUECHUA EN NIVEL BÁSICO.,"1. CAPACIDAD DE COORDINACIÓN, ORGANIZACIÓN Y CONTROL DE LOS RECURSOS ASIGNADOS. 2. CAPACIDAD DE LIDERAZGO ORIENTADO AL LOGRO DE OBJETIVOS INSTITUCIONALES. 3. CAPACIDAD PARA TRABAJAR EN EQUIPO Y BAJO PRESIÓN. 4. CAPACIDAD DE INNOVACIÓN Y APRENDIZAJE. 5. ACTITUD PROACTIVA Y CON ORIENTACIÓN A RESULTADOS. 6. ACTITUD DE ATENCIÓN Y SERVICIO AL USUARIO INTERNO Y EXTERNO.",MEDICO FAMILIAR,Red De Salud Aymaraes,a2600c9a-45b4-4a3f-858a-661653f4c215,APURIMAC - CHALHUANCA,19-10-2024,APURIMAC,CHALHUANCA
https://www.facebook.com/REDDESALUDAYMARAES,3,D.Leg 1057 - Determinado (Necesidad Transitoria)-003,3165.0,16/10/2024,29/10/2024,"EXPERIENCIA LABORAL MÍNIMO DE 03 AÑOS EN EL SECTOR PÚBLICO O PRIVADO (02 AÑOS COMO MÍNIMO EN EL SECTOR PÚBLICO), COMO TEC. EN ENFERMERÍA.",TÍTULO PROFESIONAL NO UNIVERSITARIO DE UN CENTRO DE ESTUDIOS SUPERIORES DE TÉCNICO EN ENFERMERÍA. ACREDITAR REGISTRO DE TITULO EN MINEDU. AMPLIA EXPERIENCIA EN LABORES TÉCNICAS DE ENFERMERÍA.,CURSOS RELACIONADOS O AFINES AL PERFIL DE PUESTO.,MANEJO DEL QUECHUA EN NIVEL BÁSICO. MANEJO DEL OFFICE EN NIVEL BÁSICO.,"1. CAPACIDAD DE COORDINACIÓN, ORGANIZACIÓN Y CONTROL DE LOS RECURSOS ASIGNADOS. 2. CAPACIDAD DE LIDERAZGO ORIENTADO AL LOGRO DE OBJETIVOS INSTITUCIONALES. 3. CAPACIDAD PARA TRABAJAR EN EQUIPO Y BAJO PRESIÓN. 4. CAPACIDAD DE INNOVACIÓN Y APRENDIZAJE. 5. ACTITUD PROACTIVA Y CON ORIENTACIÓN A RESULTADOS. 6. ACTITUD DE ATENCIÓN Y SERVICIO AL USUARIO INTERNO Y EXTERNO. 7. CAPACIDAD DE ANÁLISIS, EXPRESIÓN Y SÍNTESIS. 8. POSEER HABILIDADES PARA EJECUTAR TRABAJOS BAJO PRESIÓN.",TEC. EN ENFERMERIA,Red De Salud Aymaraes,9f0505c1-f55c-4888-96e7-a6eb234fb495,APURIMAC - CHALHUANCA,19-10-2024,APURIMAC,CHALHUANCA
