position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ANALISTA,PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-030,1,"S/. 3,722.00",30/09/2024,14/10/2024
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 2,572.00",30/09/2024,14/10/2024
"""ESPECIALISTA EN FISCALIZACION DE ASPECTOS OPERACIONALES DE LA OFICINA DESCONCENTRADA DE SERVICIOS (ODS) EN HUANCAVELICA""",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-255,1,"S/. 9,000.00",30/09/2024,14/10/2024
AUXILIAR ADMINISTRATIVO,DEFENSORIA DEL PUEBLO,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-101,1,"S/. 2,800.00",30/09/2024,14/10/2024
ASESOR LEGAL (CÓDIGO AIRHSP 000831),GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-17,1,"S/. 3,000.00",30/09/2024,14/10/2024
TECNICO EN ENFERMERIA,UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 1,500.00",27/09/2024,11/10/2024
PSICOLOGO,UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",27/09/2024,11/10/2024
LICENCIADO EN ENFERMERIA,UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,300.00",27/09/2024,11/10/2024
ASISTENTE ADMINISTRATIVO,UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",27/09/2024,11/10/2024
BIOLOGO,UNIDAD EJECUTORA 406 RED DE SALUD HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,900.00",27/09/2024,11/10/2024
