position,institution,location,num_conv,n_vac,payment,begin_date,end_date
PILOTO DE AMBULANCIA,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 1,914.19",26/09/2024,10/10/2024
MEDICO CIRUJANO,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,5,"S/. 5,314.19",26/09/2024,10/10/2024
LICENCIADA EN ENFERMERIA,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 3,014.19",26/09/2024,10/10/2024
MEDICO RADIOLOGO(A),UNIDAD EJECUTORA 401 SALUD CHINCHA PISCO,ICA - CHINCHA ALTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 7,300.00",26/09/2024,10/10/2024
LICENCIADA(O) EN ENFERMERIA,UNIDAD EJECUTORA 401 SALUD CHINCHA PISCO,ICA - CHINCHA BAJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 2,900.00",26/09/2024,10/10/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
TECNICO ADMINISTRATIVO I,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,084.57",23/09/2024,04/10/2024
QUIMICO FARMACEUTICO,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 5,610.05",23/09/2024,04/10/2024
ESPECIALISTA EN SALUD AMBIENTAL I,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
CONTADOR,UNIDAD EJECUTORA 303 EDUCACION PISCO,ICA - PISCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-015,1,"S/. 2,214.19",23/09/2024,04/10/2024
COORDINADOR(A) DE INNOVACION Y SOPORTE TECNOLOGICO,UNIDAD EJECUTORA 303 EDUCACION PISCO,ICA - PISCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,5,"S/. 1,464.19",23/09/2024,04/10/2024
MEDICO CIRUJANO,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 5,314.19",23/09/2024,04/10/2024
