position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ANALISTA DE PLANEAMIENTO EMPRESARIAL,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD ELECTRONORTEMEDIO SOCIEDAD ANONIMA - HIDRANDINA,LA LIBERTAD - TRUJILLO,728-1,1,"S/. 5,000.00",30/09/2024,14/10/2024
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL 04 - TRUJILLO SUR ESTE,LA LIBERTAD - TRUJILLO,276-1,1,"S/. 2,321.00",30/09/2024,14/10/2024
TECNICO EN ENFERMERIA,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SITABAMBA,276-1,1,"S/. 2,755.00",30/09/2024,14/10/2024
MEDICO CIRUJANO,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - QUIRUVILCA,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024
MEDICO CIRUJANO,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - MOLLEPATA,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024
OBSTETRA,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - MOLLEPATA,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024
TECNICO ASISTENCIAL,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - CACHICADAN,276-1,1,"S/. 2,755.00",30/09/2024,14/10/2024
ENFERMERO (A),RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - ANGASMARCA,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024
OBSTETRA,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - ANGASMARCA,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024
ENFERMERO (A),RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024
MEDICO CIRUJANO,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024
MEDICO CIRUJANO,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024
INSTRUMENTISTA DE TROMPETA PARA LA ORQUESTA SINFÓNICA DE TRUJILLO,UNIDAD EJECUTORA 009: LA LIBERTAD,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-020,1,"S/. 3,914.00",30/09/2024,14/10/2024
TECNICO (A) EN ENFERMERIA,RED DE SALUD OTUZCO,LA LIBERTAD - OTUZCO,276-004,1,"S/. 2,755.00",30/09/2024,14/10/2024
ENFERMERO (A),RED DE SALUD OTUZCO,LA LIBERTAD - OTUZCO,276-004,1,"S/. 5,300.00",30/09/2024,14/10/2024
MEDICO ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA,RED DE SALUD OTUZCO,LA LIBERTAD - AGALLPAMPA,276-004,1,"S/. 6,624.00",30/09/2024,14/10/2024
ENFERMERO (A),RED DE SALUD OTUZCO,LA LIBERTAD - HUARANCHAL,276-004,1,"S/. 5,300.00",30/09/2024,14/10/2024
ENFERMERO (A),RED DE SALUD OTUZCO,LA LIBERTAD - SALPO,276-004,1,"S/. 5,300.00",30/09/2024,14/10/2024
OBSTETRA,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024
OBSTETRA,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 5,300.00",30/09/2024,14/10/2024
MEDICO CIRUJANO,RED DE SALUD SANTIAGO DE CHUCO,LA LIBERTAD - SANTIAGO DE CHUCO,276-1,1,"S/. 6,624.00",30/09/2024,14/10/2024
