position,institution,location,num_conv,n_vac,payment,begin_date,end_date
UN (01) JEFE (A) ZONAL DE LA UNIDAD TERRITORIAL LAMBAYEQUE,PROGRAMA NACIONAL PARA LA EMPLEABILIDAD,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-017,1,"S/. 5,500.00",25/09/2024,09/10/2024
ANALISTA EN ABASTECIMIENTO,ZONA REGISTRAL N II - SEDE CHICLAYO,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 3,500.00",25/09/2024,09/10/2024
ESPECIALISTA DE CONVIVENCIA ESCOLAR,UNIDAD EJECUTORA 300 - EDUCACION CHICLAYO,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-36,1,"S/. 3,614.19",25/09/2024,09/10/2024
ESPECIALISTA DE LA UNIDAD TERRITORIAL DE LAMBAYEQUE,FONDO DE SALUD PARA LA POLICIA NACIONAL,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-53,1,"S/. 9,000.00",20/09/2024,03/10/2024
JEFE DEL ÁREA DE REDES COMUNICACIONES Y NUEVAS TECNOLOGÍAS,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-03,1,"S/. 2,700.00",19/09/2024,02/10/2024
"PROFESIONAL EN PROYECTOS, ORGANIZACIÓN Y MÉTODOS",SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-01,1,"S/. 2,700.00",19/09/2024,02/10/2024
PROFESIONAL EN SEGURIDAD DE LA INFORMACIÓN,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-02,1,"S/. 2,000.00",19/09/2024,02/10/2024
RECAUDADOR DE CARTERA NO TRIBUTRIA,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-16,3,"S/. 1,025.00",19/09/2024,02/10/2024
REGISTRADOR,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-12,2,"S/. 1,200.00",19/09/2024,02/10/2024
TÉCNICO CAJERO,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-06,2,"S/. 1,100.00",19/09/2024,02/10/2024
TÉCNICO DE REGISTRO Y FISCALIZACIÓN,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-11,1,"S/. 1,500.00",19/09/2024,02/10/2024
MEDICO(A) ESPECIALISTA EN RADIOLOGIA,GOBIERNO REGIONAL LAMBAYEQUE HOSPITAL REGIONAL DOCENTE LAS MERCEDES,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - INDETERMINADO-8,1,"S/. 7,300.00",19/09/2024,02/10/2024
ENFERMERO(A) ESPECIALISTA EN PEDIATRIA,GOBIERNO REGIONAL LAMBAYEQUE HOSPITAL REGIONAL DOCENTE LAS MERCEDES,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - INDETERMINADO-8,1,"S/. 3,600.00",19/09/2024,02/10/2024
ANALISTA CONTABLE,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-05,1,"S/. 1,500.00",19/09/2024,02/10/2024
ANALISTA DE ADMINISTRACIÓN,SERVICIO DE ADMINISTRACION TRIBUTARIA DE CHICLAYO,LAMBAYEQUE - CHICLAYO,728-04,1,"S/. 1,500.00",19/09/2024,02/10/2024
