position,institution,location,num_conv,n_vac,payment,begin_date,end_date
SUPERVISOR DE LINEA DE PRODUCCION Y ALMACENAMIENTO DE MICROFORMAS,MUNICIPALIDAD DE SANTIAGO DE SURCO,LIMA - SANTIAGO DE SURCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-108,1,"S/. 3,500.00",24/09/2024,07/10/2024
OPERADOR DE CONSERVACIÓN Y SERVICIOS,FUERZA AEREA DEL PERU,LIMA - SANTIAGO DE SURCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,139.19",24/09/2024,07/10/2024
TECNOLOGO MEDICO EN RADIOLOGIA,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,900.00",24/09/2024,07/10/2024
TECNICO EN REHABILITACION,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,2,"S/. 2,200.00",24/09/2024,07/10/2024
TECNICO EN ENFERMERIA,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 2,900.00",24/09/2024,07/10/2024
TECNICO EN ENFERMERIA,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-009,5,"S/. 2,200.00",24/09/2024,07/10/2024
TECNICO EN ENFERMERIA,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 1,800.00",24/09/2024,07/10/2024
TECNICO DE LABORATORIO,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,800.00",24/09/2024,07/10/2024
QUIMICO FARMACEUTICO,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,900.00",24/09/2024,07/10/2024
MEDICO ESPECIALISTA EN PSIQUIATRIA INFANTIL,HOSPITAL DE EMERGENCIAS VILLA EL SALVADOR,LIMA - VILLA EL SALVADOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-011,1,"S/. 7,300.00",24/09/2024,07/10/2024
