position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ABOGADO/A,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-261,1,"S/. 4,000.00",27/09/2024,11/10/2024
ASISTENTE ADMINISTRATIVO,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-863,1,"S/. 2,614.19",26/09/2024,10/10/2024
CONTRATAR LOS SERVICIOS DE UN/A (01) ESPECIALISTA TÉCNICO 2 PARA BRINDAR APOYO EN LA UNIDAD REGIONAL MOQUEGUA.,PROGRAMA DE COMPENSACIONES PARA LA COMPETITIVIDAD,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-028,1,"S/. 4,000.00",25/09/2024,09/10/2024
JEFE – OFICINA DE SUPERVISION Y LIQUIDACION DE OBRAS,MUNICIPALIDAD DISTRITAL EL ALGARROBAL,MOQUEGUA - EL ALGARROBAL,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 6,500.00",23/09/2024,04/10/2024
ESPECIALISTA DE LA UNIDAD TERRITORIAL DE MOQUEGUA,FONDO DE SALUD PARA LA POLICIA NACIONAL,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-43,1,"S/. 9,000.00",20/09/2024,03/10/2024
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-114,1,"S/. 3,000.00",19/09/2024,02/10/2024
TRABAJADOR DE SERVICIO II,UNIDAD EJECUTORA 302 MARISCAL NIETO,MOQUEGUA - SAMEGUA,276-51,2,"S/. 2,300.00",18/09/2024,01/10/2024
SECRETARIA,UNIDAD EJECUTORA 302 MARISCAL NIETO,MOQUEGUA - SAMEGUA,276-52,1,"S/. 2,450.00",18/09/2024,01/10/2024
ASISTENTE ADMINISTRATIVO,PODER JUDICIAL,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-24,1,"S/. 2,572.00",18/09/2024,01/10/2024
ATENCION AL PUBLICO,PODER JUDICIAL,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-19,1,"S/. 2,212.00",18/09/2024,01/10/2024
ABOGADO I,GERENCIA REGIONAL DE EDUCACION DE MOQUEGUA,MOQUEGUA - ICHUÑA,276-01,1,"S/. 2,530.00",18/09/2024,01/10/2024
ASISTENTE EN SERVICIOS DE EDUCACIÓN Y CULTURA I,GERENCIA REGIONAL DE EDUCACION DE MOQUEGUA,MOQUEGUA - ICHUÑA,276-01,1,"S/. 2,530.00",18/09/2024,01/10/2024
CONTADOR I,GERENCIA REGIONAL DE EDUCACION DE MOQUEGUA,MOQUEGUA - ICHUÑA,276-01,1,"S/. 2,530.00",18/09/2024,01/10/2024
ESPECIALISTA ADMINISTRATIVO I,GERENCIA REGIONAL DE EDUCACION DE MOQUEGUA,MOQUEGUA - ICHUÑA,276-01,1,"S/. 2,530.00",18/09/2024,01/10/2024
PLANIFICADOR I,GERENCIA REGIONAL DE EDUCACION DE MOQUEGUA,MOQUEGUA - ICHUÑA,276-01,1,"S/. 2,530.00",18/09/2024,01/10/2024
INGENIERO I,GERENCIA REGIONAL DE EDUCACION DE MOQUEGUA,MOQUEGUA - ICHUÑA,276-01,1,"S/. 2,530.00",18/09/2024,01/10/2024
VIGILANTE OPERADOR DE EQUIPOS,INSTITUTO NACIONAL DE RADIO Y TELEVISION DEL PERU - IRTP,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-017,1,"S/. 1,265.00",17/09/2024,30/09/2024
CHOFER,INTENDENCIA NACIONAL DE BOMBEROS DEL PERU O INBP,MOQUEGUA - SAMEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-182,1,"S/. 3,214.19",17/09/2024,30/09/2024
PSICOLOGO PARA SEDE ADMINISTRATIVA RED SALUD MOQUEGUA,DIRECCION REGIONAL DE SALUD MOQUEGUA,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 3,414.19",17/09/2024,30/09/2024
TECNICO EN ENFERMERIA PARA HOGAR PROTEGIDO MOQUEGUA,DIRECCION REGIONAL DE SALUD MOQUEGUA,MOQUEGUA - MOQUEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,1,"S/. 2,114.19",17/09/2024,30/09/2024
