position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ASISTENTE ADMINISTRATIVO UD PASCO,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-219,1,"S/. 2,500.00",24/09/2024,07/10/2024
RESPONSABLE DEL PCA,MUNICIPALIDAD PROVINCIAL DE PASCO,PASCO - CHAUPIMARCA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-7,1,"S/. 1,600.00",24/09/2024,26/09/2024
RESPONSABLE DE DEMUNA,MUNICIPALIDAD PROVINCIAL DE PASCO,PASCO - CHAUPIMARCA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-7,1,"S/. 2,200.00",24/09/2024,26/09/2024
INSPECTORES DE TRASPORTE,MUNICIPALIDAD PROVINCIAL DE PASCO,PASCO - CHAUPIMARCA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-7,8,"S/. 1,500.00",24/09/2024,26/09/2024
FISCALIZADORES,MUNICIPALIDAD PROVINCIAL DE PASCO,PASCO - CHAUPIMARCA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-06,6,"S/. 1,500.00",24/09/2024,26/09/2024
ESPECIALISTA ADMINISTRATIVO-INGENIERO,MUNICIPALIDAD PROVINCIAL DE PASCO,PASCO - CHAUPIMARCA,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-7,1,"S/. 2,500.00",24/09/2024,26/09/2024
ASISTENTE LEGAL,PODER JUDICIAL,PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-022,1,"S/. 4,000.00",24/09/2024,07/10/2024
INSPECTOR/A UD PASCO,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-218,6,"S/. 3,000.00",24/09/2024,07/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO-SECRETARIA(O) DE OFICINA ZONAL,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,PASCO - CONSTITUCION,LEY 30057-011,1,"S/. 2,457.14",23/09/2024,04/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO-ANALISTA DE CONTROL DE LA OFERTA DE DROGAS DE OFICINAS ZONALES,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,PASCO - CONSTITUCION,LEY 30057-004,1,"S/. 5,400.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ADMISIONISTA PARA CEM COMISARÍA PUERTO BERMUDEZ – PASCO,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,PASCO - PUERTO BERMUDEZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-482,1,"S/. 3,000.00",20/09/2024,03/10/2024
"ESPECIALISTA ADMINISTRATIVO I – ULE, SISFOH",MUNICIPALIDAD DISTRITAL DE TAPUC,PASCO - TAPUC,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,200.00",19/09/2024,02/10/2024
CONTRATACIÓN DE ESPECIALISTA DE SEGURIDAD CIUDADANA Y GESTION DE RIESGOS Y DESASTRES,MUNICIPALIDAD DISTRITAL DE TAPUC,PASCO - TAPUC,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,400.00",19/09/2024,02/10/2024
ESPECIALISTA ADMINISTRATIVO I – LOGISTICA Y MARGESI DE BIENES,MUNICIPALIDAD DISTRITAL DE TAPUC,PASCO - TAPUC,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,500.00",19/09/2024,02/10/2024
ASISTENTE ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL DE HUANCABAMBA,PASCO - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-9,1,"S/. 1,150.00",19/09/2024,02/10/2024
ASISTENTE DE ASESORIA LEGAL,UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,700.00",18/09/2024,01/10/2024
TRABAJADOR DE SERVICIO I (PERSONAL DE SERVICIO),UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,276-003,1,"S/. 2,300.00",18/09/2024,01/10/2024
TECNICO ADMINISTRATIVO EN GESTION INSTITUCIONAL,UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-004,1,"S/. 1,700.00",18/09/2024,01/10/2024
BIENESTAR SOCIAL,UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,500.00",18/09/2024,01/10/2024
INTEGRADOR CONTABLE,UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,500.00",18/09/2024,01/10/2024
JEFE DE LA UNIDAD DE RECURSOS HUMANOS,MUNICIPALIDAD DISTRITAL DE POZUZO,PASCO - POZUZO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,150.00",18/09/2024,01/10/2024
POLICIA DE MUNICIPAL,MUNICIPALIDAD DISTRITAL DE POZUZO,PASCO - POZUZO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,550.00",18/09/2024,01/10/2024
TECNICO ADMINISTRATIVO EN GESTION PEDAGOGICA,UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,700.00",18/09/2024,01/10/2024
SECRETARIA II (SECRETARIA DE DIRECCIÓN),UNIDAD DE GESTION EDUCATIVA OXAPAMPA,PASCO - OXAPAMPA,276-003,1,"S/. 2,500.00",18/09/2024,01/10/2024
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,PROGRAMA NACIONAL CUNA MAS,PASCO - CHAUPIMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1116,1,"S/. 2,614.19",18/09/2024,01/10/2024
