position,institution,location,num_conv,n_vac,payment,begin_date,end_date
APOYO ADMINISTRATIVO,PROGRAMA INTEGRAL NACIONAL PARA EL BIENESTAR FAMILIAR - INABIF,PUNO - JULIACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-258,1,"S/. 2,000.00",30/09/2024,14/10/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DOCENTE PARA LA ENSEÑANZA DE LA ASIGNATURA DE HISTORIA Y GEOGRAFÍA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN PUNO - SUPLENCIA TEMPORAL (008678),MINISTERIO DE EDUCACION,PUNO - CHUCUITO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-769,1,"S/. 4,500.00",27/09/2024,11/10/2024
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,PUNO - PUNO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-022,1,"S/. 2,572.00",26/09/2024,10/10/2024
SUBGERENTE DE ÁREA TÉCNICA MUNICIPAL,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,900.00",25/09/2024,09/10/2024
ASISTENTE PROFESIONAL,DIRECCION REGIONAL DE SALUD PUNO,PUNO - PUNO,276-02,1,"S/. 3,023.00",25/09/2024,09/10/2024
"SUBGERENTE DE PLANEAMIENTO, CONTROL URBANO Y CATASTRO",MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,900.00",25/09/2024,09/10/2024
SUBGERENTE DE OBRAS PUBLICAS Y MANTENIMIENTO,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,900.00",25/09/2024,09/10/2024
SUBGERENTE DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,900.00",25/09/2024,09/10/2024
"SUBGERENTE DE EDUCACIÓN, CULTURA Y DEPORTE",MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,700.00",25/09/2024,09/10/2024
SUBGERENTE DE DESARROLLO AGROPECUARIO,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,900.00",25/09/2024,09/10/2024
SECRETARIA,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,600.00",25/09/2024,09/10/2024
PSICÓLOGO,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,500.00",25/09/2024,09/10/2024
JEFE DE PROGRAMA VASO DE LECHE-PVL,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
JEFE DE PROGRAMA DE COMPLEMENTACIÓN ALIMENTARIA-PCA,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
JEFE DE OPERACIONES,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
JEFE DE MAQUINARIA AGRÍCOLA,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
JEFE DE LA OFICINA GENERAL DE ATENCIÓN AL CIUDADANO Y GESTIÓN DOCUMENTARIA,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 3,200.00",25/09/2024,09/10/2024
JEFE DE LA OFICINA DE TECNOLOGÍAS DE INFORMACIÓN,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,700.00",25/09/2024,09/10/2024
JEFE DE LA OFICINA DE ATENCIÓN AL CIUDADANO Y TRAMITE DOCUMENTARIO,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,600.00",25/09/2024,09/10/2024
"JEFE DE LA DEFENSORÍA MUNICIPAL DE LA NIÑA, NIÑO Y ADOLESCENTE",MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
JEFE DE EQUIPO MECÁNICO Y TALLER,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
JEFE DE CONTROL PATRIMONIAL,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 2,200.00",25/09/2024,09/10/2024
GERENTE DEL INSTITUTO VIAL PROVINCIAL,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 3,000.00",25/09/2024,09/10/2024
GERENTE DE DESARROLLO URBANO-RURAL,MUNICIPALIDAD PROVINCIAL SAN ANTONIO PUT,PUNO - PUTINA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 3,000.00",25/09/2024,09/10/2024
