position,institution,location,num_conv,n_vac,payment,begin_date,end_date
PROFESIONAL PARA ASISTENTE ADMINISTRATIVO DE LA GERENCIA DE INFRAESTRUCTURA PUBLICA Y DESARROLLO URBANO Y RURAL,MUNICIPALIDAD DISTRITAL DE TAMBILLO,AYACUCHO - TAMBILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,500.00",30/09/2024,14/10/2024
PROFESIONAL PARA JEFE DE LA UNIDAD DE CATASTRO Y ACONDICIONAMIENTO TERRITORIAL,MUNICIPALIDAD DISTRITAL DE TAMBILLO,AYACUCHO - TAMBILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,500.00",30/09/2024,14/10/2024
PROFESIONAL EN EDUCACIÓN PARA EL SOPORTE Y ASESORAMIENTO A IIEE INCLUSIVAS,UNIDAD DE GESTION EDUCATIVA DE PAUCAR DEL SARASARA,AYACUCHO - PAUSA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-36,1,"S/. 2,564.19",30/09/2024,14/10/2024
PROFESIONAL DOCENTE PARA SOPORTE Y ASESORAMIENTO A IIEE INCLUSIVA PAAR EL CEBE,UNIDAD DE GESTION EDUCATIVA DE PAUCAR DEL SARASARA,AYACUCHO - PAUSA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-35,1,"S/. 2,814.19",30/09/2024,14/10/2024
GESTOR/A INSTITUCIONAL,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,AYACUCHO - LUCANAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-123,1,"S/. 3,000.00",30/09/2024,14/10/2024
PROFESIONAL PARA OPERADOR DE EXCAVADORA HIDRÁULICA SOBRE ORUGA,MUNICIPALIDAD DISTRITAL DE TAMBILLO,AYACUCHO - TAMBILLO,D. LEG. 1057 - D.U. 034-2023 (ESTADO DE EMERGENCIA)-003,1,"S/. 3,200.00",30/09/2024,02/10/2024
PSICOLOGO,UNIDAD DE GESTION EDUCATIVA DE PAUCAR DEL SARASARA,AYACUCHO - LAMPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-34,1,"S/. 261,419.00",30/09/2024,14/10/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DOCENTE PARA LA ENSEÑANZA DE LA ASIGNATURA DE FÍSICA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN AYACUCHO - PLAZO DETERMINADO (007417),MINISTERIO DE EDUCACION,AYACUCHO - AYACUCHO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-768,1,"S/. 4,500.00",27/09/2024,11/10/2024
SECRETARIA II,UNIDAD EJECUTORA EDUCACIÓN HUANCASANCOS,AYACUCHO - SANCOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 1,800.00",27/09/2024,11/10/2024
TÉCNICO EN RACIONALIZACIÓN I,UNIVERSIDAD NACIONAL DE SAN CRISTOBAL DH,AYACUCHO - AYACUCHO,276-18,1,S/. 001.00,27/09/2024,11/10/2024
