position,institution,location,num_conv,n_vac,payment,begin_date,end_date
"PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA, OCUPACIONAL O DE LENGUAJE PARA CEBE CONTUMAZÁ",UNIDAD DE GESTION EDUCATIVA LOCAL CONTUMAZA,CAJAMARCA - CONTUMAZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 2,814.19",24/09/2024,07/10/2024
PSICOLOGO,UNIDAD DE GESTION EDUCATIVA LOCAL JAEN,CAJAMARCA - SAN FELIPE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 2,614.19",24/09/2024,07/10/2024
OBSTETRA,UNIDAD EJECUTORA SALUD SAN IGNACIO,CAJAMARCA - LA COIPA,D.LEG 1057 - INDETERMINADO-14,1,"S/. 2,900.00",24/09/2024,07/10/2024
TÉCNICO/A EN ENFERMERÍA,UNIDAD EJECUTORA SALUD SAN IGNACIO,CAJAMARCA - SAN IGNACIO,D.LEG 1057 - INDETERMINADO-14,1,"S/. 1,800.00",24/09/2024,07/10/2024
ESPECIALISTA EN PRESUPUESTO,UNIDAD EJECUTORA SALUD SAN IGNACIO,CAJAMARCA - SAN IGNACIO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-15,1,"S/. 4,000.00",24/09/2024,07/10/2024
TECNOLÓGICO MÉDICO TERPIA FÍSICA Y REHABILITACIÓN,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 1,400.00",23/09/2024,04/10/2024
ABOGADO (A),UNIDAD EJECUTORA SALUD SAN IGNACIO,CAJAMARCA - SAN IGNACIO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 2,100.00",23/09/2024,04/10/2024
MEDICO SEGURIDAD Y SALUD EN EL TRABAJO,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 5,200.00",23/09/2024,04/10/2024
MEDICO GENERAL,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 5,200.00",23/09/2024,04/10/2024
MEDICO GENERAL,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 5,200.00",23/09/2024,04/10/2024
ASISTENTE SOCIAL,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,900.00",23/09/2024,04/10/2024
MEDICO ESPECIALISTA EN PSIQUIATRIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
MEDICO ESPECIALISTA EN PEDIATRIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,3,"S/. 7,300.00",23/09/2024,04/10/2024
MEDICO ESPECIALISTA EN PEDIATRIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
TÍTULO DE MÉDICO CIRUJANO.,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 6,000.00",23/09/2024,04/10/2024
TÍTULO DE MÉDICO CIRUJANO.,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,2,"S/. 6,500.00",23/09/2024,04/10/2024
TÉCNICO EN FARMACIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 1,800.00",23/09/2024,04/10/2024
TÉCNICO EN ELECTRONICO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 2,700.00",23/09/2024,04/10/2024
TECNICOS EN ENFERMERÍA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,2,"S/. 1,800.00",23/09/2024,04/10/2024
TO MÉDICO ESPECIALISTA ENDOCRINOLOGO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,300.00",23/09/2024,04/10/2024
TO MÉDICO ESPECIALISTA EMERGENCIOLOGO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,2,"S/. 8,184.00",23/09/2024,04/10/2024
TO ENFERMERA ESPECIALISTA EN ONCOLOGIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,983.00",23/09/2024,04/10/2024
TECNÓLOGO MÉDICO EN TERAPIA DE LENGUAJE,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,412.00",23/09/2024,04/10/2024
TECNÓLOGO MÉDICO EN LABORATORIO CLINICO Y ANATOMIA PATOLOGICA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,412.00",23/09/2024,04/10/2024
TECNOLOGO MEDICO EN RADIOLOGIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,412.00",23/09/2024,04/10/2024
TECNICO ADMINISTRATIVO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,2,"S/. 1,800.00",23/09/2024,04/10/2024
PILOTO DE AMBULANCIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,2,"S/. 3,000.00",23/09/2024,04/10/2024
NFERMERA/O ESPECIALISTA EN NEFROLOGIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,983.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN GINECOLOGÍA ONCOLÓGICA Y/O AFINES,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 9,000.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA ONCOLOGIA MEDICA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 9,000.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA INTENSIVISTA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,300.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN PATOLOGÍA CLÍNICA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN OTORRINOLARINGOLOGÍA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN NEONATOLOGIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN MEDICINA FAMILIAR Y COMUNITARIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,2,"S/. 7,300.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN GERIATRÍA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN CARDIOLOGIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 8,184.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN GINECOLOGÍA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,300.00",23/09/2024,04/10/2024
MÉDICO EPIDEMIOLOGO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,300.00",23/09/2024,04/10/2024
MÉDICO CIRUJANO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 5,200.00",23/09/2024,04/10/2024
MÉDICO CIRUJANO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 5,200.00",23/09/2024,04/10/2024
MEDICO GENERAL - AUDITOR,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,000.00",23/09/2024,04/10/2024
MEDICO CIRUJANO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 6,500.00",23/09/2024,04/10/2024
LICENCIADA EN NUTRICION,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 2,900.00",23/09/2024,04/10/2024
INGENIERO SANITARIO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,000.00",23/09/2024,04/10/2024
INGENIERO MECÁNICO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,000.00",23/09/2024,04/10/2024
INGENIERO DE SISTEMAS,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 6,500.00",23/09/2024,04/10/2024
ESPECIALISTA EN INVERSION PUBLICA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 5,000.00",23/09/2024,04/10/2024
ESPECIALISTA EN DERMATOLOGIA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 7,300.00",23/09/2024,04/10/2024
ENFERMERA-O,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 2,900.00",23/09/2024,04/10/2024
ENFERMERA ESPECIALISTA EN UNIDAD DE CUIDADOS INTENSIVOS ADULTO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,983.00",23/09/2024,04/10/2024
ENFERMERA ESPECIALISTA DE EMERGENCIAS Y DESASTRES,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,983.00",23/09/2024,04/10/2024
ENFERMERA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 3,600.00",23/09/2024,04/10/2024
ASISTENTE LEGAL,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 3,500.00",23/09/2024,04/10/2024
ASISTENTE LEGAL,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 2,700.00",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 2,500.00",23/09/2024,04/10/2024
ANALISTA DE DATOS,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 3,500.00",23/09/2024,04/10/2024
ADMISIONISTA,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 1,800.00",23/09/2024,04/10/2024
ABOGADO,HOSPITAL GENERAL JAEN,CAJAMARCA - JAEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-07,1,"S/. 4,000.00",23/09/2024,04/10/2024
MÉDICO ESPECIALISTA EN CIRUGÍA GENERAL,HOSPITAL SANTA MARIA DE CUTERVO,CAJAMARCA - CUTERVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 8,000.00",23/09/2024,04/10/2024
TÉCNICO ADMINISTRATIVO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,400.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ABOGADO/A PARA CEM COMISARIA RURAL COLASAY - CAJAMARCA,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,CAJAMARCA - COLASAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-478,1,"S/. 3,000.00",20/09/2024,03/10/2024
PSICÓLOGO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
PSICÓLOGO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,104.00",20/09/2024,03/10/2024
PROTOCOLO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,400.00",20/09/2024,03/10/2024
OPERADOR COER MODULO DE OPERACIONES,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",20/09/2024,03/10/2024
INGENIERO (A) COORDINADOR DE OBRAS,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,300.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,104.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
INGENIERO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,100.00",20/09/2024,03/10/2024
ESPECIALISTA EN TURISMO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,100.00",20/09/2024,03/10/2024
ESPECIALISTA EN GESTIÓN DE RECURSOS NATURALES DEL ACR “PÁRAMOS Y BOSQUES MONTANOS DE JAÉN Y TABACONAS”,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,104.00",20/09/2024,03/10/2024
ESPECIALISTA EN GESTIÓN DE RECURSOS NATURALES DEL ACR “BOSQUES SECOS DEL MARAÑÓN”,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,104.00",20/09/2024,03/10/2024
"ESPECIALISTA EN GESTIÓN DE RECURSOS NATURALES ACR “BOSQUES EL CHAUPE, CUNÍA Y CHINCHIQUILLA”",GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,104.00",20/09/2024,03/10/2024
ESPECIALISTA ADMINITRATIVO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,100.00",20/09/2024,03/10/2024
ESPECIALISTA ADMINITRATIVO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,000.00",20/09/2024,03/10/2024
ESPECIALISTA ADMINITRATIVO,GOBIERNO REGIONAL CAJAMARCA,CAJAMARCA - CAJAMARCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,100.00",20/09/2024,03/10/2024
