position,institution,location,num_conv,n_vac,payment,begin_date,end_date
DEFENSOR PÚBLICO EN EL NUEVO CÓDIGO PROCESAL PENAL,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-849,2,"S/. 5,114.19",26/09/2024,10/10/2024
AUXILIAR DE LABORATORIO,ORGANISMO NACIONAL DE SANIDAD PESQUERA (SANIPES),CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-049,1,"S/. 2,500.00",25/09/2024,09/10/2024
ASISTENTE JURISDICCIONAL,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-046,1,"S/. 2,572.00",24/09/2024,07/10/2024
PROMOTOR/A REGIONAL - REGIÓN CALLAO,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-073,1,"S/. 1,614.19",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-046,3,"S/. 2,972.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-047,2,"S/. 3,850.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE AUDIENCIAS,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-046,1,"S/. 2,972.00",24/09/2024,07/10/2024
ABOGADO I,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-046,1,"S/. 2,972.00",24/09/2024,07/10/2024
ANALISTA I,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-39,1,"S/. 3,614.19",23/09/2024,04/10/2024
PSICÓLOGO(A),UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-41,1,"S/. 2,614.19",23/09/2024,04/10/2024
