position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ASISTENTE ADMINISTRATIVO DE DEMUNA,MUNICIPALIDAD PROVINCIAL DE YAROWILCA,HUANUCO - CHAVINILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,300.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO DE GERENCIA MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE YAROWILCA,HUANUCO - CHAVINILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,700.00",30/09/2024,14/10/2024
"""APOYO EN ORIENTACIÓN AL USUARIO DE OFICINA DESCONCENTRADA DE SERVICIOS (ODS) EN HUÁNUCO""",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,HUANUCO - HUANUCO,D.LEG 1057 - INDETERMINADO-268,1,"S/. 4,500.00",30/09/2024,14/10/2024
"ALMACENERO/A PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”,",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 2,600.00",30/09/2024,14/10/2024
"ASISTENTE DE INSPECTOR PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”,",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 4,170.00",30/09/2024,14/10/2024
"CHOFER PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”.",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 2,600.00",30/09/2024,14/10/2024
"ESPECIALISTA EN SEGURIDAD, SALUD OCUPACIONAL Y MEDIO AMBIENTE",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 4,630.00",30/09/2024,14/10/2024
"GUARDIÁN/A PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”.",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 2,600.00",30/09/2024,14/10/2024
INGENIERO DE CALIDAD,PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 4,630.00",30/09/2024,14/10/2024
"INGENIERO/A RESIDENTE DE OBRA _ OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”,",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 6,950.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO DE DEMUNA,MUNICIPALIDAD PROVINCIAL DE YAROWILCA,HUANUCO - CHAVINILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 2,300.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO DE GERENCIA MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE YAROWILCA,HUANUCO - CHAVINILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,1,"S/. 1,700.00",30/09/2024,14/10/2024
"""APOYO EN ORIENTACIÓN AL USUARIO DE OFICINA DESCONCENTRADA DE SERVICIOS (ODS) EN HUÁNUCO""",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,HUANUCO - HUANUCO,D.LEG 1057 - INDETERMINADO-268,1,"S/. 4,500.00",30/09/2024,14/10/2024
"ALMACENERO/A PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”,",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 2,600.00",30/09/2024,14/10/2024
"ASISTENTE DE INSPECTOR PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”,",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 4,170.00",30/09/2024,14/10/2024
"CHOFER PARA LA OBRA: “CONSTRUCCION DEL CANAL DE RIEGO LAS MERCEDES – LA VICTORIA – 07 DE OCTUBRE, DISTRITO DE JOSE CRESPO Y CASTILLO, PROVINCIA DE LEONCIO PRADO– HUANUCO”.",PROYECTO ESPECIAL ALTO HUALLAGA,HUANUCO - RUPA-RUPA,728-005,1,"S/. 2,600.00",30/09/2024,14/10/2024
