position,institution,location,num_conv,n_vac,payment,begin_date,end_date
TECNICO ADMINISTRATIVO I,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,084.57",23/09/2024,04/10/2024
CONTADOR,UNIDAD EJECUTORA 303 EDUCACION PISCO,ICA - PISCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-015,1,"S/. 2,214.19",23/09/2024,04/10/2024
AGENTE DE CONTROL,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-224,1,"S/. 3,000.00",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
COORDINADOR(A) DE INNOVACION Y SOPORTE TECNOLOGICO,UNIDAD EJECUTORA 303 EDUCACION PISCO,ICA - PISCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,5,"S/. 1,464.19",23/09/2024,04/10/2024
MEDICO CIRUJANO,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 5,314.19",23/09/2024,04/10/2024
QUIMICO FARMACEUTICO,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 5,610.05",23/09/2024,04/10/2024
ESPECIALISTA EN SALUD AMBIENTAL I,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO II,DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) PSICÓLOGO/A COMUNITARIO/A PARA EL SERVICIO DE ATENCIÓN RURAL – ICA - HUANCANO,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,ICA - HUANCANO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-487,1,"S/. 4,000.00",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO (SUPLENCIA),ZONA REGISTRAL NRO XI SEDE ICA,ICA - PISCO,728-001,1,"S/. 3,400.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) PSICÓLOGO/A PARA EL CENTRO DE EMERGENCIA MUJER COMISARÍA – ICA - ICA,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-488,1,"S/. 3,000.00",20/09/2024,03/10/2024
ESPECIALISTA DE LA UNIDAD TERRITORIAL DE ICA,FONDO DE SALUD PARA LA POLICIA NACIONAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-40,1,"S/. 9,000.00",20/09/2024,03/10/2024
PERSONAL DE SEGURIDAD,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,6,"S/. 1,950.00",18/09/2024,01/10/2024
ASISTENTE DE COMUNICACIONES,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,2,"S/. 4,000.00",18/09/2024,01/10/2024
ADMINISTRADOR/A,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 7,800.00",18/09/2024,01/10/2024
AISTENTE DE ATENCION AL PUBLICO,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,3,"S/. 4,000.00",18/09/2024,01/10/2024
ASISTENTE ADMINISTRATIVO II,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 4,750.00",18/09/2024,01/10/2024
ASISTENTE DE CUSTODIA Y GRABACIONES,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,3,"S/. 4,000.00",18/09/2024,01/10/2024
ASISTENTE DE INFORMATICA,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-009,3,"S/. 4,000.00",18/09/2024,01/10/2024
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,3,"S/. 4,000.00",18/09/2024,01/10/2024
CHOFER,PODER JUDICIAL,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 3,150.00",18/09/2024,01/10/2024
