position,institution,location,num_conv,n_vac,payment,begin_date,end_date
C.S. MAZAMARI,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - MAZAMARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,2,"S/. 5,000.00",24/09/2024,07/10/2024
C.S. MAZAMARI,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - MAZAMARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,3,"S/. 7,000.00",24/09/2024,07/10/2024
P.S. SAN CRISTOBAL,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - MAZAMARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,900.00",24/09/2024,07/10/2024
CENTRO DE SALUD MENTAL COMUNITARIO - SATIPO,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - SATIPO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,500.00",24/09/2024,07/10/2024
CENTRO DE SALUD MENTAL COMUNITARIO - SATIPO,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - SATIPO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,500.00",24/09/2024,07/10/2024
CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO PRADO,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - RIO TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 3,565.00",24/09/2024,07/10/2024
CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO PRADO,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - RIO TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 3,565.00",24/09/2024,07/10/2024
CENTRO DE SALUD MENTAL COMUNITARIO NUEVO PUERTO PRADO Y OTROS EE.SS ITINERANTE,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - RIO TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 3,565.00",24/09/2024,07/10/2024
P.S. UNION JUNIN,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - RIO TAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,900.00",24/09/2024,07/10/2024
P.S. ALTO PITOCUNA,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - RIO NEGRO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,900.00",24/09/2024,07/10/2024
CENTRO DE SALUD MENTAL COMUNITARIO - SATIPO,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - SATIPO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,500.00",24/09/2024,07/10/2024
P.S. PARATUSHALI,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - SATIPO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 2,900.00",24/09/2024,07/10/2024
C.S. MAZAMARI,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - MAZAMARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,3,"S/. 9,500.00",24/09/2024,07/10/2024
C.S. MAZAMARI,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - MAZAMARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 7,000.00",24/09/2024,07/10/2024
C.S. MAZAMARI,UNIDAD TERRITORIAL DE SALUD SATIPO,JUNIN - MAZAMARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-005,1,"S/. 5,000.00",24/09/2024,07/10/2024
