position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ASISTENTE ADMINISTRATIVO PARA LA OFICINA DE TESORERÍA,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 2,500.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO PARA LA OFICINA DE IMAGEN INSTITUCIONAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,500.00",30/09/2024,14/10/2024
ENCARGADO DE ALMACEN MUNICIPAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE FISCALIZACIÓN MUNICIPAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,000.00",30/09/2024,14/10/2024
ENCARGADO DE LA DIVISIÓN DE ALEGRA,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA DIVISIÓN DE BIENESTAR SOCIAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA DIVISIÓN DE COMERCIALIZACIÓN Y PROMOCIÓN DE LA MYPE,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA DIVISIÓN DE DEMUNA,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA DIVISIÓN DE MAQUINARIA Y EQUIPO,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA DIVISIÓN DE OMAPED,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA OFICINA DE DESARROLLO SOCIAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,000.00",30/09/2024,14/10/2024
ENCARGADO DE LA OFICINA DE LOGISTICA,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,500.00",30/09/2024,14/10/2024
ENCARGADO DE LA OFICINA DE RENTAS Y TRIBUTACIÓN,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,000.00",30/09/2024,14/10/2024
ENCARGADO DE LA OFICINA DE SUPERVISIÓN Y LIQUIDACIÓN DE OBRAS,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,000.00",30/09/2024,14/10/2024
ESPECIALISTA DE SEGURIDAD CIUDADANA,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",30/09/2024,14/10/2024
ESPECIALISTA EN GESTIÓN DE PROYECTOS Y OBRAS,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 4,500.00",30/09/2024,14/10/2024
APOYOS ADMINISTRATIVOS,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,40,"S/. 2,000.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO PARA LA DIVISIÓN DE BIENESTAR SOCIAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,500.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO PARA LA DIVISIÓN DE GESTIÓN AMBIENTAL,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 2,500.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO PARA LA GERENCIA DE ASESORÍA JURÍDICA,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 2,500.00",30/09/2024,14/10/2024
ASISTENTE ADMINISTRATIVO PARA LA GERENCIA DE PLANEAMIENTO Y PRESUPUESTO,MUNICIPALIDAD PROVINCIAL HUANCABAMBA,PIURA - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,2,"S/. 2,500.00",30/09/2024,14/10/2024
