position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date
"PROFESIONAL III PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR
",DIRECCION REGIONAL DE EDUCACION ICA,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-013,1,"S/. 2,914.19",01/10/2024,15/10/2024
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1152,1,"S/. 2,614.19",01/10/2024,15/10/2024
"PROFESIONAL EN PSICOLOGIA
",DIRECCION REGIONAL DE EDUCACION ICA,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-013,1,"S/. 2,614.19",01/10/2024,15/10/2024
"ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO
",PROGRAMA NACIONAL CUNA MAS,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1156,1,"S/. 2,914.19",01/10/2024,15/10/2024
"MEDICO RADIOLOGO(A)
",UNIDAD EJECUTORA 401 SALUD CHINCHA PISCO,ICA - CHINCHA ALTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 7,300.00",26/09/2024,10/10/2024
"LICENCIADA(O) EN ENFERMERIA
",UNIDAD EJECUTORA 401 SALUD CHINCHA PISCO,ICA - CHINCHA BAJA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 2,900.00",26/09/2024,10/10/2024
"LICENCIADA EN ENFERMERIA
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 3,014.19",26/09/2024,10/10/2024
"PILOTO DE AMBULANCIA
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 1,914.19",26/09/2024,10/10/2024
"MEDICO CIRUJANO
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,5,"S/. 5,314.19",26/09/2024,10/10/2024
"MEDICO CIRUJANO
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,D.LEG 1057 - INDETERMINADO-006,1,"S/. 5,314.19",23/09/2024,04/10/2024
"AGENTE DE CONTROL
",SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-224,1,"S/. 3,000.00",23/09/2024,04/10/2024
"ASISTENTE ADMINISTRATIVO II
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
"ASISTENTE ADMINISTRATIVO II
",DIRECCION REGIONAL DE SALUD ICA,ICA - ICA,276-001,1,"S/. 3,346.98",23/09/2024,04/10/2024
