position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
"ASISTENTE JUDICIAL
",PODER JUDICIAL,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 4,000.00",11/10/2024,24/10/2024,612aeedb-d889-4306-a2db-31d9f3dc804e
"ASISTENTE ADMINISTRATIVO EN TESORERIA
",MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",11/10/2024,24/10/2024,3c54a677-13d2-4a03-bb24-a6fcc4942fa4
"ASISTENTE DE CONTRATACION DE BIENES Y SERVICIOS
",MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,800.00",11/10/2024,24/10/2024,a8458597-e092-4edd-8073-d9b9381348f2
"RESPONSABLE DE CONTROL PATRIMONIAL
",DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 3,500.00",10/10/2024,23/10/2024,92551537-c2fe-4d36-9484-d85e896beb78
"GESTOR LOCAL PARA LA UNIDAD TERRITORIAL AMAZONAS BAGUA
",PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-245,1,"S/. 2,000.00",10/10/2024,23/10/2024,15e348ea-cc2a-4d16-a38b-944533561d05
"JEFE DE OFICINA DE TECNOLOGIA DE LA INFORMACIÓN.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,a6b535c7-4992-4025-abe7-fe12ba2d9bfa
"AUXILIAR DE ABASTECIMIENTO
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,800.00",07/10/2024,21/10/2024,fcf0f7b6-e51f-4560-9b3c-903669cc4095
"ESPECIALISTA DE CONTABILIDAD
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,d6971abd-e944-4198-987b-4f0e347ebcaf
"FISCALIZADOR.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",07/10/2024,21/10/2024,f836a4cb-1866-4284-8875-a8c9acf9a7ab
"GERENTE DE INSTITUTO VIAL PROVINCIAL.
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 5,100.00",07/10/2024,21/10/2024,3c6bd2c3-c581-4f24-bc5d-a195b56ff193
"TÉCNICO ADMINISTRATIVO DE ALMACÉN
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",07/10/2024,21/10/2024,373a5467-b649-4275-aa4a-16284e84c558
"COTIZADOR
",MUNICIPALIDAD PROVINCIAL BAGUA,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 3,000.00",07/10/2024,21/10/2024,27f07642-16eb-4064-962c-e87c02b0cea3
