position,institution,location,num_conv,n_vac,payment,begin_date,end_date
DIRECTOR REGIONAL IIAP AMAZONAS.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-47,1,"S/. 8,197.19",25/09/2024,09/10/2024
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-117,1,"S/. 3,045.00",24/09/2024,07/10/2024
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-87,2,"S/. 3,500.00",24/09/2024,07/10/2024
DEPARTAMENTO DE SALUD MENTAL,HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,565.00",23/09/2024,04/10/2024
DEPARTAMENTO DE ONCOLOGIA,HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-001,1,"S/. 9,000.00",23/09/2024,04/10/2024
DEPARTAMENTO DE SALUD MENTAL,HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 8,000.00",23/09/2024,04/10/2024
DEPARTAMENTO DE ONCOLOGIA,HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,2,"S/. 4,400.00",23/09/2024,04/10/2024
DEPARTAMENTO DE ONCOLOGIA,HOSPITAL REGIONAL VIRGEN DE FATIMA CHACHAPOYAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 9,000.00",23/09/2024,04/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ABOGADO/A PARA EL CENTRO DE EMERGENCÍA MUJER COMISARIA RURAL SECTORIAL LAMUD – AMAZONAS.,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - LAMUD,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-474,1,"S/. 3,000.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ABOGADO/A PARA EL CENTRO DE EMERGENCÍA MUJER CHACHAPOYAS – AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-476,1,"S/. 4,000.00",20/09/2024,03/10/2024
ASISTENTE ADMINISTRATIVO BILINGUE (CON CONOCIMIENTO DE LAS LENGUAS AWAJÚN Y/O WAMPIS),MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AMAZONAS,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-62,1,"S/. 3,000.00",19/09/2024,02/10/2024
ASISTENTE EN FUNCION FISCAL,MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AMAZONAS,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-62,2,"S/. 4,000.00",19/09/2024,02/10/2024
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1117,1,"S/. 2,614.19",18/09/2024,01/10/2024
"APOYO OPERATIVO EN TRANSPORTE, RECOLECCIÓN Y DISPOSICIÓN FINAL",MANCOMUNIDAD MUNICIPAL VALLE DE LAS CATARATAS - BONGARÁ - REGIÓN AMAZONAS,AMAZONAS - SAN CARLOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,500.00",18/09/2024,01/10/2024
APOYO ADMINISTRATIVO,MANCOMUNIDAD MUNICIPAL VALLE DE LAS CATARATAS - BONGARÁ - REGIÓN AMAZONAS,AMAZONAS - SAN CARLOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-01,1,"S/. 1,300.00",18/09/2024,01/10/2024
ADMINISTRADOR,PROGRAMA NACIONAL CUNA MAS,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1119,1,"S/. 5,114.19",18/09/2024,01/10/2024
TÉCNICO MECÁNICO II,PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL -,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-052,1,"S/. 3,500.00",18/09/2024,01/10/2024
ESPECIALISTA EN CONTRATACIONES (AIRHSP N° 000498),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,529.65",17/09/2024,30/09/2024
ANALISTA DE SISTEMAS PAD II (AIRHSP N° 000004),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,657.93",17/09/2024,30/09/2024
ESPECIALISTA EN GESTIÓN DE RECURSOS HUMANOS (AIRHSP N° 000002),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,529.65",17/09/2024,30/09/2024
ESPECIALISTA EN GESTIÓN DE RECURSOS HUMANOS (AIRHSP N° 001559),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,529.65",17/09/2024,30/09/2024
ESPECIALISTA EN PLANEAMIENTO ESTRATÉGICO (AIRHSP N° 002268),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,529.65",17/09/2024,30/09/2024
TECNICO EN BIBLIOTECA (AIRHSP N° 000105),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - SAN NICOLAS,276-3,1,"S/. 2,390.75",17/09/2024,30/09/2024
PERIODISTA (AIRHSP N° 003224),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,529.65",17/09/2024,30/09/2024
SECRETARIA (AIRHSP N° 000056),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,390.75",17/09/2024,30/09/2024
TECNICO ADMINISTRATIVO (AIRHSP N° 000237),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,393.75",17/09/2024,30/09/2024
APOYO ACADEMICO,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 1,614.19",17/09/2024,30/09/2024
TRABAJADOR DE SERVICIO (AIRHSP N° 000157),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,360.45",17/09/2024,30/09/2024
TRABAJADOR DE SERVICIO (AIRHSP N° 000368) - SUPLENCIA,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,321.65",17/09/2024,30/09/2024
CONTADOR (AIRHSP N° 000003) - SUPLENCIA,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,276-3,1,"S/. 2,656.55",17/09/2024,30/09/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) PROMOTOR PARA CEM CONDORCANQUI – AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-469,1,"S/. 4,000.00",17/09/2024,30/09/2024
TRABAJADOR DE SERVICIO (AIRHSP N° 006081),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - IMAZA,276-3,1,"S/. 2,321.65",17/09/2024,30/09/2024
ESPECIALISTA EN ACREDITACION,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 3,000.00",17/09/2024,30/09/2024
PERSONAL PARA CONTROL PATRIMONIAL,MUNICIPALIDAD DISTRITAL DE CUMBA,AMAZONAS - CUMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 2,000.00",16/09/2024,27/09/2024
