position,institution,location,num_conv,n_vac,payment,begin_date,end_date
SECRETARIO I - ORGANO DE CONTROL INSTITUCIONAL OCI - UGEL MARISCAL LUZURIAGA,UNIDAD DE GESTION EDUCATIVA LOCAL DE MARISCAL LUZURIAGA,ANCASH - PISCOBAMBA,276-003,1,"S/. 1,023.75",20/09/2024,03/10/2024
ESPECIALISTA DE LA UNIDAD TERRITORIAL DE CHIMBOTE,FONDO DE SALUD PARA LA POLICIA NACIONAL,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-39,1,"S/. 9,000.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) PROMOTOR/A PARA CENTRO DE EMERGENCIA MUJER (CEM) ASUNCIÓN - ANCASH,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,ANCASH - CHACAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-485,1,"S/. 3,500.00",20/09/2024,03/10/2024
UN/A (01) TRABAJADOR/A SOCIAL CEM HUARAZ - ANCASH,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-498,1,"S/. 4,000.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) TRABAJADOR/A SOCIAL PARA EL CENTRO DE EMERGENCIA MUJER – ANCASH - HUAYLAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,ANCASH - HUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-492,1,"S/. 4,000.00",20/09/2024,03/10/2024
MEDICO ESPECIALISTA - HOSPITAL DE APOYO POMABAMBA,DIRECCION DE RED DE SALUD CONCHUCOS NORTE,ANCASH - POMABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 7,300.00",19/09/2024,02/10/2024
MEDICO CIRUJANO-HOSPITAL DE APOYO POMABAMBA,DIRECCION DE RED DE SALUD CONCHUCOS NORTE,ANCASH - POMABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 5,200.00",19/09/2024,02/10/2024
TRABAJADOR/A SOCIAL - SEDE ADMINISTRATIVA,DIRECCION DE RED DE SALUD CONCHUCOS NORTE,ANCASH - POMABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,900.00",19/09/2024,02/10/2024
TECNICO EN ENFERMERIA-P. S SICSIBAMBA,DIRECCION DE RED DE SALUD CONCHUCOS NORTE,ANCASH - POMABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,800.00",19/09/2024,02/10/2024
QUÍMICO FARMACÉUTICO - SEDE ADMINISTRATIVO,DIRECCION DE RED DE SALUD CONCHUCOS NORTE,ANCASH - POMABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,000.00",19/09/2024,02/10/2024
