position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ASISTENTE LEGAL PARA LA SUB GERENCIA DE TRANSPORTE Y SEGURIDAD VIAL,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",27/09/2024,11/10/2024
SUBGERENTE(A) DE ADMINISTRACION TRIBUTARIA,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",26/09/2024,10/10/2024
RESPONSABLES DE ADQUISICIONES,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",25/09/2024,09/10/2024
ASISTENTE DE ÓRGANO DE CONTROL INSTITUCIONAL,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 3,000.00",25/09/2024,09/10/2024
FIZCALIZADOR,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,200.00",25/09/2024,09/10/2024
EJECUTOR COACTIVO,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 4,000.00",25/09/2024,09/10/2024
AUXILIAR COACTIVO,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,500.00",25/09/2024,09/10/2024
SUBGERENTE(A) DE LA SUBGERENCIA DE ÁREA TÉCNICA MUNICIPAL DE GESTIÓN DE SERVICIOS DE AGUA Y SANEAMIENTO – ATMGSAS,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,300.00",25/09/2024,09/10/2024
INSPECTOR DE TRANSPORTE,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,2,"S/. 1,500.00",25/09/2024,09/10/2024
JEFE DE LA UNIDAD DE IMAGEN INSTITUCIONAL Y PROTOCOLO,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",25/09/2024,09/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - ABANCAY,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - ABANCAY,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - ABANCAY,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,820.50",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,820.50",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,820.50",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,820.50",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,820.50",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 5,233.00",23/09/2024,04/10/2024
DOCENTE UNIVERSITARIO (NOMBRAMIENTO),UNIVERSIDAD NACIONAL MICAELA BASTIDAS DE APURIMAC,APURIMAC - TAMBURCO,DOCENTES UNIVERSITARIOS LEY 30220-01,1,"S/. 8,869.82",23/09/2024,04/10/2024
