position,institution,location,num_conv,n_vac,payment,begin_date,end_date
SUBGERENCIA DE DESARROLLO HUMANO Y PARTICIPACIÓN CIUDADANA,MUNICIPALIDAD DISTRITAL DE YURA,AREQUIPA - YURA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 2,250.00",27/09/2024,11/10/2024
SUB GERENCIA DE DESARROLLO ECONÓMICO Y TURISMO,MUNICIPALIDAD DISTRITAL DE YURA,AREQUIPA - YURA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 2,500.00",27/09/2024,11/10/2024
PROMOTOR DE DEMUNA,MUNICIPALIDAD DISTRITAL DE YURA,AREQUIPA - YURA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 1,400.00",27/09/2024,11/10/2024
PSICOLOGO (A),UNIDAD EJECUTORA - UGEL LA JOYA,AREQUIPA - MAJES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 2,614.19",27/09/2024,11/10/2024
EJECUTIVO - AREQUIPA,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,AREQUIPA - CERRO COLORADO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-213,1,"S/. 8,000.00",27/09/2024,11/10/2024
COORDINADOR (A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD EJECUTORA - UGEL LA JOYA,AREQUIPA - MAJES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 1,464.19",27/09/2024,11/10/2024
ESPECIALISTA EN MONITOREO DE PROYECTOS,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,AREQUIPA - CERRO COLORADO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-092,1,"S/. 9,114.19",27/09/2024,11/10/2024
GESTOR/A INSTITUCIONAL,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,AREQUIPA - TAPAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-117,1,"S/. 3,000.00",26/09/2024,10/10/2024
ASISTENTE ADMINISTRATIVO,"CENTRO DE EXPORTACION, TRANSFORMACION, INDUSTRIA, COMERCIALIZACION Y SERVICIOS CETICOS MATARANI",AREQUIPA - ISLAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,414.19",25/09/2024,09/10/2024
ASISTENTE LEGAL,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 2,572.00",24/09/2024,07/10/2024
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,2,"S/. 2,572.00",24/09/2024,07/10/2024
APOYO EN LAS LABORES DE SOPORTE TECNICO,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 1,500.00",24/09/2024,07/10/2024
APOYO EN LA DESCARGA PROCESAL DE LOS JUZGADOS PENALES,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 1,720.00",24/09/2024,07/10/2024
ESPECIALISTA EN NUTRICIÓN,MUNICIPALIDAD DISTRITAL DE MIRAFLORES,AREQUIPA - MIRAFLORES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-028,1,"S/. 2,500.00",24/09/2024,07/10/2024
COORDINADOR DE LA SUB GERENCIA DE VASO DE LECHE,MUNICIPALIDAD DISTRITAL DE PAUCARPATA,AREQUIPA - PAUCARPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 3,500.00",24/09/2024,07/10/2024
"COORDINADOR DE LA SUB GERENCIA DE BIENESTAR, EDUCACION, CULTURA, DEPORTE Y TURISMO",MUNICIPALIDAD DISTRITAL DE PAUCARPATA,AREQUIPA - PAUCARPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 3,500.00",24/09/2024,07/10/2024
AUXILIAR ADMINISTRATIVO,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 2,197.00",24/09/2024,07/10/2024
CHOFER,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 2,209.62",24/09/2024,07/10/2024
CHOFER I,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 3,040.00",24/09/2024,07/10/2024
CONDUCCIÓN DE VEHÍCULO,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 1,300.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE AUDIENCIA,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,2,"S/. 3,850.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 2,972.00",24/09/2024,07/10/2024
"RESGUARDO, CUSTODIA Y VIGILANCIA",PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-031,1,"S/. 1,300.00",24/09/2024,07/10/2024
ADMINISTRADOR,GERENCIA REGIONAL DE TRABAJO Y PROMOCION DEL EMPLEO DEL GOBIERNO REGIONAL DE AREQUIPA,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-16,1,"S/. 3,614.19",24/09/2024,07/10/2024
ESPECIALISTA LEGAL,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 2,972.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,AREQUIPA - AREQUIPA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 2,972.00",24/09/2024,07/10/2024
OPERADOR DE OBSERVACIONES METEOROLOGICAS O HIDROLOGICAS - ESTACION SALAMANCA (CO),SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGÍA DEL PERÚ - SENAMHI,AREQUIPA - SALAMANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-169,1,"S/. 1,139.19",24/09/2024,07/10/2024
CAJERO,MUNICIPALIDAD DISTRITAL SAMUEL PASTOR,AREQUIPA - SAMUEL PASTOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 1,800.00",24/09/2024,07/10/2024
GERENTE DE DESARROLLO ECONOMICO,MUNICIPALIDAD DISTRITAL SAMUEL PASTOR,AREQUIPA - SAMUEL PASTOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,800.00",24/09/2024,07/10/2024
GERENTE DE DESARROLLO SOCIAL,MUNICIPALIDAD DISTRITAL SAMUEL PASTOR,AREQUIPA - SAMUEL PASTOR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,1,"S/. 3,800.00",24/09/2024,07/10/2024
OPERADOR DE OBSERVACIONES METEOROLOGICAS O HIDROLOGICAS - ESTACION HACIENDA PAMPATA (HLG),SERVICIO NACIONAL DE METEOROLOGIA E HIDROLOGÍA DEL PERÚ - SENAMHI,AREQUIPA - NICOLAS DE PIEROLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-170,1,"S/. 1,139.19",24/09/2024,07/10/2024
ASISTENTA SOCIAL,MUNICIPALIDAD DISTRITAL DE YURA,AREQUIPA - YURA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-1,1,"S/. 1,800.00",24/09/2024,07/10/2024
ESPECIALISTA EN SISTEMA INTEGRADO DE ADMINISTRACIÓN FINANCIERA - SIAF,MUNICIPALIDAD DISTRITAL DE SACHACA,AREQUIPA - SACHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 1,900.00",20/09/2024,03/10/2024
NOTIFICADOR(A),MUNICIPALIDAD DISTRITAL DE SACHACA,AREQUIPA - SACHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 1,400.00",20/09/2024,03/10/2024
ABOGADO COMISION DE PROCESOS ADMINISTRATIVOS,GOBIERNO REGIONAL DE AREQUIPA -UGE NORTE,AREQUIPA - SACHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 2,354.19",20/09/2024,03/10/2024
JEFE DE AREA DE CONTROL PATRIMONIAL,MUNICIPALIDAD DISTRITAL DE SACHACA,AREQUIPA - SACHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 2,500.00",20/09/2024,03/10/2024
ESPECIALISTA EN GESTION PUBLICA,MUNICIPALIDAD DISTRITAL DE SACHACA,AREQUIPA - SACHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 2,000.00",20/09/2024,03/10/2024
COTIZADOR,MUNICIPALIDAD DISTRITAL DE SACHACA,AREQUIPA - SACHACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-006,1,"S/. 2,000.00",20/09/2024,03/10/2024
