position,institution,location,num_conv,n_vac,payment,begin_date,end_date
PROFESIONAL EN RECURSOS NATURALES,PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL,AYACUCHO - QUEROBAMBA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-007,1,"S/. 5,000.00",26/09/2024,10/10/2024
AUXILIAR EN VIGILANCIA Y CONTROL,PODER JUDICIAL,AYACUCHO - AYNA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-058,1,"S/. 1,300.00",26/09/2024,10/10/2024
SUB GERENTE DE SUPERVISION Y LIQUIDACION,MUNICIPALIDAD PROVINCIAL DE FAJARDO,AYACUCHO - HUANCAPI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,1,"S/. 2,300.00",25/09/2024,09/10/2024
GUARDIAN,MUNICIPALIDAD PROVINCIAL DE FAJARDO,AYACUCHO - HUANCAPI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-4,2,"S/. 1,200.00",25/09/2024,09/10/2024
ESPECIALISTA JUDICIAL DE AUDIENCIA,PODER JUDICIAL,AYACUCHO - SAN MIGUEL,D.LEG 1057 - DETERMINADO (SUPLENCIA)-057,1,"S/. 2,972.00",24/09/2024,07/10/2024
ALMACENERO I,UNIDAD EJECUTORA EDUCACIÓN HUANCASANCOS,AYACUCHO - SANCOS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-05,1,"S/. 2,564.19",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,AYACUCHO - SAN MIGUEL,D.LEG 1057 - DETERMINADO (SUPLENCIA)-057,1,"S/. 2,972.00",24/09/2024,07/10/2024
RESPONSABLE DE LA DIVISIÓN DE GESTION AMBIENTAL,MUNICIPALIDAD DISTRITAL DE LLOCHEGUA,AYACUCHO - LLOCHEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-09,1,"S/. 2,114.19",23/09/2024,04/10/2024
PERSONAL DE SEGURIADAD CIUDADANA (SERENAZGO),MUNICIPALIDAD DISTRITAL DE LLOCHEGUA,AYACUCHO - LLOCHEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-09,1,"S/. 1,514.19",23/09/2024,04/10/2024
SECRETARIA(O),UNIDAD EJECUTORA EDUCACION VRAE LA MAR,AYACUCHO - CHUNGUI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,850.00",23/09/2024,04/10/2024
ESPECIALISTA EN SUPERVISIÓN Y LIQUIDACION DE OBRAS II (JEFE DE LA DIVISIÓN DE SUPERVISIÓN Y LIQUIDACIÓN DE OBRAS),MUNICIPALIDAD DISTRITAL DE LLOCHEGUA,AYACUCHO - LLOCHEGUA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-09,1,"S/. 2,914.19",23/09/2024,04/10/2024
ESPECIALISTA EN INFRAESTRUCTURA,UNIDAD EJECUTORA EDUCACION VRAE LA MAR,AYACUCHO - SAN MIGUEL,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-016,1,"S/. 2,600.00",23/09/2024,04/10/2024
