position,institution,location,num_conv,n_vac,payment,begin_date,end_date
RESPONSABLE DE CAMPO DE LA SEDE CUSCO,MINISTERIO DE DESARROLLO E INCLUSION SOCIAL,CUSCO - CUSCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-78,1,"S/. 2,114.19",26/09/2024,10/10/2024
JEFE DE AREA DE GESTION PEDAGOGICA,UNIDAD DE GESTION EDUCATIVA PAUCARTAMBO,CUSCO - PAUCARTAMBO,PROFESORADO LEY 24029-01,1,"S/. 7,500.00",26/09/2024,10/10/2024
GESTOR/A INSTITUCIONAL,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,CUSCO - CONDOROMA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-118,1,"S/. 3,000.00",26/09/2024,10/10/2024
GESTOR/A INSTITUCIONAL,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,CUSCO - LIVITACA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-122,1,"S/. 3,000.00",26/09/2024,10/10/2024
ASISTENTE ADMINISTRATIVO PARA LA UNIDAD TERRITORIAL CUSCO,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,CUSCO - SAN SEBASTIAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-230,1,"S/. 2,500.00",26/09/2024,10/10/2024
PSICOLOGO,UNIDAD DE GESTION EDUCATIVA LOCAL DE URUBAMBA,CUSCO - URUBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-034,1,"S/. 2,614.19",26/09/2024,10/10/2024
"PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA, OCUPACIONAL O DE LENGUAJE PARA CEBE",UNIDAD DE GESTION EDUCATIVA LOCAL DEL CUSCO,CUSCO - CUSCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-15,4,"S/. 2,814.19",25/09/2024,09/10/2024
PSICOLOGO,DIRECCION REGIONAL DE EDUCACION,CUSCO - CUSCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1,"S/. 3,168.86",25/09/2024,09/10/2024
ESPECIALISTA EN FINANZAS II,DIRECCION REGIONAL DE EDUCACION,CUSCO - CUSCO,276-037,1,"S/. 1,200.00",25/09/2024,09/10/2024
PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA PARA LOS PROGRAMAS DE INTERVENCIÓN TEMPRANA (PRITE),UNIDAD DE GESTION EDUCATIVA LOCAL DEL CUSCO,CUSCO - CUSCO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-15,3,"S/. 2,814.19",25/09/2024,09/10/2024
