position,institution,location,num_conv,n_vac,payment,begin_date,end_date
COORDINADOR LOCAL DEL PROGRAMA PRESUPUESTAL 068 - PREVAED,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE TAYACAJA,HUANCAVELICA - PAMPAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-0009,1,"S/. 2,500.00",26/09/2024,10/10/2024
ESPECIALISTA EN RECURSOS NATURALES,PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-006,1,"S/. 6,000.00",26/09/2024,10/10/2024
TÉCNICO AGROPECUARIO,PROGRAMA DE DESARROLLO PRODUCTIVO AGRARIO RURAL - AGRO RURAL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-005,1,"S/. 3,500.00",26/09/2024,10/10/2024
GESTORES LOCALES PARA LA UNIDAD TERRITORIAL HUANCAVELICA,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-233,4,"S/. 2,000.00",26/09/2024,10/10/2024
APOYO ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,300.00",25/09/2024,09/10/2024
ALMACENERO,MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,400.00",25/09/2024,09/10/2024
ASISTENTE ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,600.00",25/09/2024,09/10/2024
ASISTENTE EN GESTIÓN ADMINISTRATIVA,MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 2,000.00",25/09/2024,09/10/2024
ASISTENTE EN IMPLEMENTACIÓN DEL SISTEMA DE CONTROL INTERNO,MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",25/09/2024,09/10/2024
ESPECIALISTA ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL DE YAULI,HUANCAVELICA - YAULI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-03,1,"S/. 1,700.00",25/09/2024,09/10/2024
