position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ASISTENTE SOCIAL I,GERENCIA REGIONAL DE AGRICULTURA,LA LIBERTAD - TRUJILLO,276-3,1,"S/. 2,417.00",25/09/2024,09/10/2024
UN (01) JEFE (A) ZONAL DE LA UNIDAD TERRITORIAL LA LIBERTAD,PROGRAMA NACIONAL PARA LA EMPLEABILIDAD,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 5,500.00",25/09/2024,09/10/2024
ASESOR(A) LEGAL,MUNICIPALIDAD DISTRITAL DE CHARAT,LA LIBERTAD - CHARAT,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,200.00",25/09/2024,09/10/2024
¿ RESPONSABLE DEL AREA DE SUPERVISION Y LIQUIDACION DE OBRAS,MUNICIPALIDAD DISTRITAL DE CHARAT,LA LIBERTAD - CHARAT,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,000.00",25/09/2024,09/10/2024
ANALISTA TECNICO,AGENCIA DE PROMOCION DE LA INVERSION PRIVADA - PROINVERSION,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-18,1,"S/. 5,000.00",25/09/2024,09/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO (COD. 01128_2),PODER JUDICIAL,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-055,2,"S/. 2,972.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO (COD. 01128_1),PODER JUDICIAL,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-055,1,"S/. 2,972.00",24/09/2024,07/10/2024
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,LA LIBERTAD - CHEPEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-055,1,"S/. 2,572.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE AUDIENCIA,PODER JUDICIAL,LA LIBERTAD - EL PORVENIR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-055,1,"S/. 2,972.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO (COD. 01128_3),PODER JUDICIAL,LA LIBERTAD - CHEPEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-055,1,"S/. 2,972.00",24/09/2024,07/10/2024
ESPECIALISTA JUDICIAL DE CAUSA (COD. 02462).,PODER JUDICIAL,LA LIBERTAD - EL PORVENIR,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-055,1,"S/. 2,972.00",24/09/2024,07/10/2024
ASISTENTE EJECUTIVO II,INSTITUTO REGIONAL DE ENFERMEDADES NEOPLASICAS LUIS PINILLOS GANOZA IREN,LA LIBERTAD - TRUJILLO,276-1,1,"S/. 2,475.00",23/09/2024,04/10/2024
COORDINADOR/A TÉCNICO/A (PP PREVENCIÓN Y TRATAMIENTO DEL CONSUMO DE DROGA),GERENCIA REGIONAL DE EDUCACION LA LIBERTAD,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-12,1,"S/. 4,014.19",23/09/2024,04/10/2024
CONTADOR I,UNIDAD DE GESTION EDUCATIVA LOCAL N° 03 UNIDAD EJECUTORA EDUCACION 315: TRUJILLO NOR OESTE,LA LIBERTAD - TRUJILLO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-026,1,"S/. 2,114.19",23/09/2024,04/10/2024
SECRETARIO(A) TECNICO DE PROCEDIMIENTOS ADMINISTRATIVOS DISCIPLINARIOS,SERV.DE ADMINISTRACION TRIBUTARIA-TRUJIL,LA LIBERTAD - TRUJILLO,D.LEG 1057 - INDETERMINADO-1,1,"S/. 2,300.00",23/09/2024,04/10/2024
CHOFER DE LA UNIDAD DE LIMPIEZA PUBLICA,MUNICIPALIDAD DISTRITAL DE SALAVERRY,LA LIBERTAD - SALAVERRY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,800.00",23/09/2024,04/10/2024
TRABAJADOR EN SERVICIOS I (OPERARIO DE BARRIDO),MUNICIPALIDAD DISTRITAL DE SALAVERRY,LA LIBERTAD - SALAVERRY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,200.00",23/09/2024,04/10/2024
SUB GERENTE DE PLANEAMIENTO,MUNICIPALIDAD DISTRITAL DE SALAVERRY,LA LIBERTAD - SALAVERRY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,100.00",23/09/2024,04/10/2024
OPERADOR DE SEGURIDAD CIUDADANA,MUNICIPALIDAD DISTRITAL DE SALAVERRY,LA LIBERTAD - SALAVERRY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,2,"S/. 1,200.00",23/09/2024,04/10/2024
VIGILANTE EN EL MERCADO DE ABASTO DE SALAVERRY,MUNICIPALIDAD DISTRITAL DE SALAVERRY,LA LIBERTAD - SALAVERRY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,100.00",23/09/2024,04/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
PSICOLOGO,HOSPITAL DE APOYO NRO 3 CHEPEN,LA LIBERTAD - PUEBLO NUEVO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,500.00",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
TECNOLOGO MEDICO (ANATOMIA PATOLOGICA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 5,300.00",20/09/2024,03/10/2024
TECNOLOGO MEDICO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,2,"S/. 5,300.00",20/09/2024,03/10/2024
TECNICO EN NUTRICION,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,4,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO EN ARCHIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
TECNICO DE FARMACIA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO DE ENFERMERIA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,13,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL / ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL / ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,3,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL / ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-1,1,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL / ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL -TECNICO ELECTRONICO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,2,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL -PILOTO DE AMBULANCIA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-1,2,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL (TECNICO MECANICO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-1,2,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ASISTENCIAL (OPERADOR DE MAQUINAS DE LAVANDERIA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-1,1,"S/. 2,755.00",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-1,1,"S/. 2,387.00",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
TECNICO ADMINISTRATIVO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 2,387.50",20/09/2024,03/10/2024
QUIMICO FARMACEUTICO,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,2,"S/. 5,300.00",20/09/2024,03/10/2024
NUTRICIONISTA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,2,"S/. 5,300.00",20/09/2024,03/10/2024
MÉDICO CIRUJANO ESPECIALISTA EN PEDIATRIA,U.E. 403-SALUD TRUJILLO-SUR OESTE,LA LIBERTAD - TRUJILLO,276-001,1,"S/. 6,624.00",20/09/2024,03/10/2024
