position,institution,location,num_conv,n_vac,payment,begin_date,end_date
TOPÓGRAFO,PROYECTO ESPECIAL OLMOS TINAJONES,LAMBAYEQUE - CHICLAYO,728-03,1,"S/. 1,210.00",27/09/2024,11/10/2024
"SECRETARIA DE LA OFICINA DE PRESUPUESTO, PLANIFICACIÓN Y RACIONALIZACIÓN.",PROYECTO ESPECIAL OLMOS TINAJONES,LAMBAYEQUE - CHICLAYO,728-03,1,"S/. 1,844.00",27/09/2024,11/10/2024
"AUXILIAR DE MANTENIMIENTO, LIMPIEZA Y VIGILANCIA",UNIDAD EJECUTORA 005 NAYLAMP-LAMBAYEQUE,LAMBAYEQUE - SAÑA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 1,139.19",27/09/2024,11/10/2024
ESPECIALISTA JUDICIAL DE AUDIENCIAS,CORTE SUPERIOR DE JUSTICIA DE LAMBAYEQUE,LAMBAYEQUE - LA VICTORIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-014,5,"S/. 4,750.00",27/09/2024,11/10/2024
ABOGADO,UNIDAD EJECUTORA 300 - EDUCACION CHICLAYO,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-55,3,"S/. 40,825,818.00",27/09/2024,11/10/2024
SECRETARIA DE LA GERENCIA DE DESARROLLO DE TINAJONES,PROYECTO ESPECIAL OLMOS TINAJONES,LAMBAYEQUE - CHICLAYO,728-03,1,"S/. 1,200.00",27/09/2024,11/10/2024
TECNICO EN PLANILLAS,UNIDAD EJECUTORA 300 - EDUCACION CHICLAYO,LAMBAYEQUE - CHICLAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-57,1,"S/. 1,800.00",27/09/2024,11/10/2024
ASISTENTE TÉCNICO EN UNIDAD FORMULADORA,PROYECTO ESPECIAL OLMOS TINAJONES,LAMBAYEQUE - CHICLAYO,728-03,1,"S/. 1,650.00",27/09/2024,11/10/2024
ESPECIALISTA EN OPERACIÓN Y MANTENIMIENTO DEL SISTEMA DE TRANSMISIÓN ELÉCTRICA,PROYECTO ESPECIAL OLMOS TINAJONES,LAMBAYEQUE - CHICLAYO,728-3,1,"S/. 3,951.00",27/09/2024,11/10/2024
MECÁNICO DE MAQUINARIA LIVIANA,PROYECTO ESPECIAL OLMOS TINAJONES,LAMBAYEQUE - CHICLAYO,728-03,1,"S/. 1,251.00",27/09/2024,11/10/2024
