position,institution,location,num_conv,n_vac,payment,begin_date,end_date
MONITOR/A REGIONAL DE PLATAFORMAS,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,LORETO - NAUTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-120,1,"S/. 7,500.00",26/09/2024,10/10/2024
DEFENSOR PUBLICO DE DEFENSA DE VICTIMAS,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-840,1,"S/. 5,114.19",26/09/2024,10/10/2024
ESPECIALISTA EN DESARROLLO DE SISTEMAS DE TRANSFORMACIÓN DIGITAL.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,LORETO - SAN JUAN BAUTISTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-48,1,"S/. 3,114.19",25/09/2024,09/10/2024
PROMOTOR DE BIENESTAR,UNIDAD DE GESTION EDUCATIVA LOCAL DE PUTUMAYO,LORETO - PUTUMAYO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-15,1,"S/. 1,514.19",25/09/2024,09/10/2024
TECNICO ADMINISTRATIVO,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,2,"S/. 2,601.18",24/09/2024,07/10/2024
SECRETARIA,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 2,601.18",24/09/2024,07/10/2024
PLANIFICADOR,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 3,648.35",24/09/2024,07/10/2024
OBSTETRA,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 5,662.90",24/09/2024,07/10/2024
CIRUJANO DENTISTA,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,2,"S/. 5,662.90",24/09/2024,07/10/2024
BIOLOGO,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 5,662.90",24/09/2024,07/10/2024
AUXILIAR ASISTENCIAL - TRABAJADOR DE SERVICIOS (LIMPIEZA),A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 2,886.65",24/09/2024,07/10/2024
ASISTENTE EN SERVICIOS DE SALUD,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 3,234.94",24/09/2024,07/10/2024
ESPECIALISTA REGIONAL EN ELECTRICIDAD - LORETO,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-132,1,"S/. 11,000.00",24/09/2024,07/10/2024
TECNICO ASISTENCIAL - SEGURIDAD (VIGILANCIA),A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,2,"S/. 2,948.51",24/09/2024,07/10/2024
TECNICO EN ARCHIVO,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 2,601.18",24/09/2024,07/10/2024
TECNICO EN ENFERMERIA,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,7,"S/. 2,948.51",24/09/2024,07/10/2024
MEDICO ESPECIALISTA,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 7,075.03",24/09/2024,07/10/2024
TECNICO ESPECIALIZADO EN LABORATORIO,A.I.S. HOSPITAL APOYO IQUITOS,LORETO - IQUITOS,276-001,1,"S/. 3,152.82",24/09/2024,07/10/2024
JEFE DEL AREA TECNICA MUNICIPAL (ATM),MUNICIPALIDAD DISTRITAL DE CAHUAPANAS,LORETO - CAHUAPANAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 3,500.00",23/09/2024,04/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO-ANALISTA DE PROYECTOS DE INVERSIÓN EN INFRAESTRUCTURA DE OFICINA ZONAL,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,LORETO - PUNCHANA,LEY 30057-009,1,"S/. 4,950.00",23/09/2024,04/10/2024
ESPECIALISTA DE LA UNIDAD TERRITORIAL DE LORETO,FONDO DE SALUD PARA LA POLICIA NACIONAL,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-42,1,"S/. 9,000.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) PROMOTOR/A PARA CENTRO DE EMERGENCIA MUJER (CEM) COMISARIA IQUITOS - LORETO,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-486,1,"S/. 4,000.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ABOGADO/A PARA EL CENTRO DE EMERGENCÍA MUJER CABALLOCCOCHA – LORETO,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,LORETO - RAMON CASTILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-475,1,"S/. 4,500.00",20/09/2024,03/10/2024
GESTORES LOCALES PARA LA UNIDAD TERRITORIAL LORETO YURIMAGUAS,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,LORETO - YURIMAGUAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-225,2,"S/. 2,000.00",20/09/2024,03/10/2024
ASISTENTE PORTUARIO 1,AUTORIDAD PORTUARIA NACIONAL,LORETO - NAUTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-067,1,"S/. 3,000.00",19/09/2024,02/10/2024
ESPECIALISTA EN NUTRICION,PROGRAMA NACIONAL CUNA MAS,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1122,1,"S/. 2,614.19",18/09/2024,01/10/2024
ESPECIALISTA JUDICIAL DE JUZGADO,CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN,LORETO - YURIMAGUAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 2,972.00",18/09/2024,01/10/2024
ESPECIALISTA LEGAL DE AUDIENCIA,CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN,LORETO - YURIMAGUAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 2,972.00",18/09/2024,01/10/2024
ASISTENTE JUDICIAL,CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN,LORETO - YURIMAGUAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-031,1,"S/. 4,000.00",18/09/2024,01/10/2024
ESPECIALISTA LEGAL,PODER JUDICIAL,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-022,1,"S/. 2,972.00",17/09/2024,30/09/2024
COORDINADOR (A) DE RESIDENCIA ESTUDIANTIL,UNIDAD EJECUTORA 305 EDUCACION NAUTA,LORETO - NAUTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 2,614.19",17/09/2024,30/09/2024
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-022,1,"S/. 2,972.00",17/09/2024,30/09/2024
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-023,1,"S/. 2,972.00",17/09/2024,30/09/2024
ASISTENTE ADMINISTRATIVO REGIONAL,ORGANISMO SUPERVISOR DE LA INVERSION EN ENERGIA Y MINERIA,LORETO - IQUITOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-130,1,"S/. 4,200.00",17/09/2024,30/09/2024
PERSONAL DE MANTENIMIENTO CRFA,UNIDAD EJECUTORA 305 EDUCACION NAUTA,LORETO - NAUTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 1,139.19",17/09/2024,30/09/2024
