position,institution,location,num_conv,n_vac,payment,begin_date,end_date
1,SERVICIO NACIONAL DE SANIDAD AGRARIA,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,S/. 013.00,25/09/2024,09/10/2024
16,SERVICIO NACIONAL DE SANIDAD AGRARIA,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1556,16,S/. 166.00,25/09/2024,09/10/2024
1,SERVICIO NACIONAL DE SANIDAD AGRARIA,MADRE DE DIOS - MANU,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,314.00",25/09/2024,09/10/2024
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-134,1,"S/. 3,500.00",24/09/2024,07/10/2024
VERIFICADOR AUXILIAR DE COBRANZA COACTIVA,SUPERINTENDENCIA NACIONAL DE ADUANAS Y DE ADMINISTRACION TRIBUTARIA - SUNAT,MADRE DE DIOS - MADRE DE DIOS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-222,1,"S/. 4,200.00",23/09/2024,04/10/2024
GESTOR DE DESARROLLO SOCIAL PARA LA UNIDAD TERRITORIAL MADRE DE DIOS,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-226,1,"S/. 3,000.00",20/09/2024,03/10/2024
SERENO MUNICIPAL,MUNICIPALIDAD DISTRITAL DE IBERIA,MADRE DE DIOS - IBERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,2,"S/. 1,500.00",20/09/2024,03/10/2024
OPERADOR DE EQUIPO DE ESTACIÓN,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,MADRE DE DIOS - TAMBOPATA,728-052,1,"S/. 1,950.00",19/09/2024,02/10/2024
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,PROGRAMA NACIONAL CUNA MAS,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1121,1,"S/. 2,614.19",18/09/2024,01/10/2024
INSPECTOR(A) DE MIGRACIONES,SUPERINTENDENCIA NACIONAL DE MIGRACIONES - MIGRACIONES,MADRE DE DIOS - TAMBOPATA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-423,1,"S/. 3,000.00",18/09/2024,01/10/2024
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,PROGRAMA NACIONAL CUNA MAS,MADRE DE DIOS - IÑAPARI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1115,1,"S/. 2,614.19",18/09/2024,01/10/2024
