position,institution,location,num_conv,n_vac,payment,begin_date,end_date
JEFE DE LA DIVISIÓN DE COMPETITIVIDADY FOMENTO PRODUCTIVO,MUNICIPALIDAD DISTRITAL DE HUANCABAMBA,PASCO - HUANCABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-010,1950,"S/. 1,950.00",30/09/2024,14/10/2024
"""ESPECIALISTA EN SUPERVISION I PARA LA OFICINA DESCONCENTRADA DE SERVICIOS (ODS) PASCO""",SUPERINTENDENCIA NAC.SERV.DE SANEAMIENTO,PASCO - CHAUPIMARCA,D.LEG 1057 - INDETERMINADO-262,1,"S/. 9,000.00",30/09/2024,14/10/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) AUXILIAR MONITOR DE RESIDENCIA PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN PASCO - PLAZO DETERMINADO (005761),MINISTERIO DE EDUCACION,PASCO - CHONTABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-773,1,"S/. 2,500.00",27/09/2024,11/10/2024
TECNICO JUDICIAL,PODER JUDICIAL,PASCO - YANACANCHA,276-007,1,"S/. 4,710.00",27/09/2024,11/10/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) BIBLIOTECOLOGO PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN PASCO - PLAZO DETERMINADO (003614),MINISTERIO DE EDUCACION,PASCO - CHONTABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-766,1,"S/. 4,000.00",27/09/2024,11/10/2024
ASISTENTE ADMINISTRATIVO PARA LA UNIDAD TERRITORIAL PASCO,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-228,1,"S/. 2,500.00",26/09/2024,10/10/2024
DEFENSOR PUBLICO DE DEFENSA DE VICTIMAS,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,PASCO - PAUCARTAMBO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-842,1,"S/. 5,114.19",26/09/2024,10/10/2024
ASISTENTE ADMINISTRATIVO UD PASCO,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-219,1,"S/. 2,500.00",24/09/2024,07/10/2024
ASISTENTE LEGAL,PODER JUDICIAL,PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-022,1,"S/. 4,000.00",24/09/2024,07/10/2024
INSPECTOR/A UD PASCO,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",PASCO - YANACANCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-218,6,"S/. 3,000.00",24/09/2024,07/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO-SECRETARIA(O) DE OFICINA ZONAL,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,PASCO - CONSTITUCION,LEY 30057-011,1,"S/. 2,457.14",23/09/2024,04/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO-ANALISTA DE CONTROL DE LA OFERTA DE DROGAS DE OFICINAS ZONALES,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,PASCO - CONSTITUCION,LEY 30057-004,1,"S/. 5,400.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) ADMISIONISTA PARA CEM COMISARÍA PUERTO BERMUDEZ – PASCO,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,PASCO - PUERTO BERMUDEZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-482,1,"S/. 3,000.00",20/09/2024,03/10/2024
ESPECIALISTA ADMINISTRATIVO I – LOGISTICA Y MARGESI DE BIENES,MUNICIPALIDAD DISTRITAL DE TAPUC,PASCO - TAPUC,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 1,500.00",19/09/2024,02/10/2024
