position,institution,location,num_conv,n_vac,payment,begin_date,end_date
JEFE DE LA OFICINA DE ÁREA TÉCNICA MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,500.00",24/09/2024,07/10/2024
ESPECIALISTA EN ARQUITECTURA,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-003,1,"S/. 2,500.00",24/09/2024,07/10/2024
SUB GERENTE DE SERVICIOS PÚBLICOS Y GESTIÓN AMBIENTAL,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,500.00",24/09/2024,07/10/2024
SUB GERENTE DE DESARROLLO AGROPECUARIO,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,500.00",24/09/2024,07/10/2024
SUB GERENTE DE CATASTRO Y ACONDICIONAMIENTO TERRITORIAL,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,800.00",24/09/2024,07/10/2024
SUB GERENTE DE ACTIVIDADES ECONÓMICAS,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 3,500.00",24/09/2024,07/10/2024
SOLDADOR,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,000.00",24/09/2024,07/10/2024
RESPONSABLE DE LA OFICINA DE OMAPED,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,000.00",24/09/2024,07/10/2024
RESPONSABLE SOCIAL,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,400.00",24/09/2024,07/10/2024
PSICÓLOGO,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,500.00",24/09/2024,07/10/2024
OPERADOR DE TRACTOR ORUGA,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,000.00",24/09/2024,07/10/2024
NOTIFICADOR TRIBUTARIO,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,600.00",24/09/2024,07/10/2024
NOTIFICADOR,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,700.00",24/09/2024,07/10/2024
MECÁNICO II,MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,000.00",24/09/2024,07/10/2024
"JEFE/A DE LA OFICINA DE PARTICIPACIÓN CIUDADANA, EDUCACIÓN, SALUD, CULTURA Y DEPORTE",MUNICIPALIDAD PROVINCIAL DE AZANGARO,PUNO - AZANGARO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,500.00",24/09/2024,07/10/2024
