position,institution,location,num_conv,n_vac,payment,begin_date,end_date
ESPECIALISTA EN INFRAESTRUCTURA,DIRECCION REGIONAL DE EDUCACION SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-13,1,"S/. 3,614.19",26/09/2024,10/10/2024
ESPECIALISTA ADMINISTRATIVO I,DIRECCION REGIONAL DE EDUCACION SAN MARTIN,SAN MARTIN - MOYOBAMBA,276-1,1,S/. 980.00,26/09/2024,10/10/2024
ESPECIALISTA LEGAL - SAN MARTIN (SEGUNDA CONVOCATORIA),SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-188,1,"S/. 6,000.00",26/09/2024,10/10/2024
FISCALIZADOR.,MUNICIPALIDAD PROVINCIAL DE PICOTA,SAN MARTIN - PICOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 1,600.00",25/09/2024,09/10/2024
PSICOLOGO.,MUNICIPALIDAD PROVINCIAL DE PICOTA,SAN MARTIN - PICOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,000.00",25/09/2024,09/10/2024
ESPECIALISTA EN MATERIA LEGAL,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 4,650.00",25/09/2024,09/10/2024
ESPECIALISTA TEMATICO EN ESTRATEGIA SANITARIA TBC/HANSEN,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 3,650.00",25/09/2024,09/10/2024
ESPECIALISTA TEMATICO EN ALIMENTACION Y NUTRICION,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 2,714.19",25/09/2024,09/10/2024
ESPECIALISTA ADMINISTRATIVO I,DIRECCION REGIONAL DE EDUCACION SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,S/. 980.25,25/09/2024,09/10/2024
BIOLOGO,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 3,014.19",25/09/2024,09/10/2024
ASISTENTE TEMATICO EN DESARROLLO DE SISTEMAS,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 2,500.00",25/09/2024,09/10/2024
ASISTENTE LEGAL DE GESTIÓN DE RECURSOS HUMANOS,DIRECCION REGIONAL DE EDUCACION SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,614.19",25/09/2024,09/10/2024
ASISTENTE LEGAL,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - MOYOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-018,1,"S/. 3,650.00",25/09/2024,09/10/2024
MEDICO,UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,2,"S/. 5,200.00",25/09/2024,09/10/2024
MEDICO,UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 5,200.00",25/09/2024,09/10/2024
MEDICO,UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 5,200.00",25/09/2024,09/10/2024
MEDICO CIRUJANO GENERAL,UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 6,986.00",25/09/2024,09/10/2024
MEDICO INTERNISTA,UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 6,986.00",25/09/2024,09/10/2024
TECNICO EN ENFERMERIA,UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,SAN MARTIN - TARAPOTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 1,800.00",25/09/2024,09/10/2024
ASISTENTE TEMÁTICO DE LA DIRECCIÓN SUB REGIONAL DE COMERCIO EXTERIOR Y TURISMO BAJO MAYO - TARAPOTO,GOBIERNO REGIONAL SAN MARTIN,SAN MARTIN - TARAPOTO,276-001,1,"S/. 2,305.00",25/09/2024,09/10/2024
ESPECIALISTA DE INCLUSION SOCIAL.,MUNICIPALIDAD PROVINCIAL DE PICOTA,SAN MARTIN - PICOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,500.00",25/09/2024,09/10/2024
ESPECIALISTA DE ESTUDIOS Y PROYECTOS,MUNICIPALIDAD PROVINCIAL DE PICOTA,SAN MARTIN - PICOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,500.00",25/09/2024,09/10/2024
ABOGADO I,MUNICIPALIDAD PROVINCIAL DE PICOTA,SAN MARTIN - PICOTA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-002,1,"S/. 2,500.00",25/09/2024,09/10/2024
TECNICO ADMINISTRATIVO I,CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN,SAN MARTIN - RIOJA,728-003,1,"S/. 3,840.00",25/09/2024,09/10/2024
APOYO ADMINISTRATIVO EN LAS AREAS DE NOTIFICACIONES (JUANJUI),CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN,SAN MARTIN - JUANJUI,D.LEG 1057 - DETERMINADO (SUPLENCIA)-032,1,"S/. 1,300.00",24/09/2024,07/10/2024
JEFE DE LA OFICINA DE PRODUCCION DE AGUA POTABLE Y TRATAMIENTO DE AGUAS RESIDUALES,EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO DE MOYOBAMBA SOCIEDAD ANÓNIMA - EPS MOYOBAMBA S.A.,SAN MARTIN - MOYOBAMBA,728-004,1,"S/. 1,906.03",24/09/2024,07/10/2024
APOYO ADMINISTRATIVO EN LAS AREAS DE NOTIFICACIONES (NUEVA CAJAMARCA),CORTE SUPERIOR DE JUSTICIA DE SAN MARTIN,SAN MARTIN - NUEVA CAJAMARCA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-032,1,"S/. 1,300.00",24/09/2024,07/10/2024
