position,institution,location,num_conv,n_vac,payment,begin_date,end_date
SUB GERENTE DE ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL ALTO DE ALIANZA,TACNA - ALTO DE LA ALIANZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,1,"S/. 4,000.00",25/09/2024,09/10/2024
ANALISTA,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-105,1,"S/. 2,800.00",25/09/2024,09/10/2024
PERSONAL DE SEGURIDAD,PODER JUDICIAL,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-026,1,"S/. 1,950.00",25/09/2024,09/10/2024
ADMINISTRADOR/A,PODER JUDICIAL,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-027,1,"S/. 6,010.00",25/09/2024,09/10/2024
ESPECIALISTA 1,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-105,3,"S/. 3,300.00",25/09/2024,09/10/2024
QUIMICO FARMACEUTICO,RED DE SALUD TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-027,1,"S/. 3,414.19",24/09/2024,07/10/2024
ASISTENTE PROFESIONAL,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-104,1,"S/. 2,250.00",23/09/2024,04/10/2024
SUB GERENTE DE TECNOLOGIA DE LA INFORMACIÓN Y COMUNICACIÓN,MUNICIPALIDAD DISTRITAL ALTO DE ALIANZA,TACNA - ALTO DE LA ALIANZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-27,1,"S/. 4,000.00",23/09/2024,04/10/2024
ASISTENTE PROFESIONAL C (RESPONSABLE DEL PROGRAMA VASO DE LECHE),MUNICIPALIDAD DISTRITAL ALTO DE ALIANZA,TACNA - ALTO DE LA ALIANZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,1,"S/. 2,000.00",23/09/2024,04/10/2024
JEFE DE OFICINA PARA LA OFICINA DE ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL DE ITE,TACNA - ITE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-029,1,"S/. 6,800.00",20/09/2024,03/10/2024
SUB GERENTE DE ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL ALTO DE ALIANZA,TACNA - ALTO DE LA ALIANZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-28,1,"S/. 4,000.00",25/09/2024,09/10/2024
ANALISTA,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-105,1,"S/. 2,800.00",25/09/2024,09/10/2024
PERSONAL DE SEGURIDAD,PODER JUDICIAL,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-026,1,"S/. 1,950.00",25/09/2024,09/10/2024
ADMINISTRADOR/A,PODER JUDICIAL,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-027,1,"S/. 6,010.00",25/09/2024,09/10/2024
ESPECIALISTA 1,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-105,3,"S/. 3,300.00",25/09/2024,09/10/2024
QUIMICO FARMACEUTICO,RED DE SALUD TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-027,1,"S/. 3,414.19",24/09/2024,07/10/2024
ASISTENTE PROFESIONAL,MUNICIPALIDAD PROVINCIAL DE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-104,1,"S/. 2,250.00",23/09/2024,04/10/2024
SUB GERENTE DE TECNOLOGIA DE LA INFORMACIÓN Y COMUNICACIÓN,MUNICIPALIDAD DISTRITAL ALTO DE ALIANZA,TACNA - ALTO DE LA ALIANZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-27,1,"S/. 4,000.00",23/09/2024,04/10/2024
ASISTENTE PROFESIONAL C (RESPONSABLE DEL PROGRAMA VASO DE LECHE),MUNICIPALIDAD DISTRITAL ALTO DE ALIANZA,TACNA - ALTO DE LA ALIANZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-26,1,"S/. 2,000.00",23/09/2024,04/10/2024
JEFE DE OFICINA PARA LA OFICINA DE ABASTECIMIENTO,MUNICIPALIDAD DISTRITAL DE ITE,TACNA - ITE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-029,1,"S/. 6,800.00",20/09/2024,03/10/2024
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD TRANSITORIA) DE UN/A (01) TRABAJADOR/A SOCIAL PARA CEM COMISARÍA NATIVIDAD – TACNA,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-495,1,"S/. 4,000.00",20/09/2024,03/10/2024
PROFESIONAL DE APOYO EN LABORES DE CONTROL,ZONA REGISTRAL NRO.XIII SEDE TACNA,TACNA - TACNA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-27,1,"S/. 3,000.00",19/09/2024,02/10/2024
