position,institution,location,num_conv,n_vac,payment,begin_date,end_date
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS (CAS) DE UNA O UN (01) ESPECILISTA EN PROYECTOS,UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES,TUMBES - TUMBES,D.LEG 1057 - INDETERMINADO-024,1,"S/. 3,609.90",24/09/2024,07/10/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS (CAS) POR SUPLENCIA DE (01) JEFE (A) DE LA OFICINA ZONAL SUR,UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES,TUMBES - ZORRITOS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-022,1,"S/. 6,203.17",24/09/2024,07/10/2024
"CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS (CAS) DE UNA O UN (01) ESPECIALISTA EN PROYECTOS, POR NECESIDAD TRANSITORIA PARA LA GERENCIA DE INGENIERÍA, PROYECTOS Y MEDIO AMBIENTE",UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES,TUMBES - TUMBES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-023,1,"S/. 3,609.90",24/09/2024,07/10/2024
CONTRATACIÓN ADMINISTRATIVA (CAS) DE UN O UNA (01) ASISTENTE ADMINISTRATIVO PARA LA GERENCIA GENERAL,UNIDAD EJECUTORA 002 SERVICIOS DE SANEAMIENTO TUMBES,TUMBES - TUMBES,D.LEG 1057 - INDETERMINADO-021,1,"S/. 2,750.00",18/09/2024,01/10/2024
EJECUTIVO - TUMBES,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,TUMBES - SAN JACINTO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-180,1,"S/. 8,000.00",18/09/2024,01/10/2024
CONTRATACIÓN ADMINISTRATIVA DE SERVICIOS DE UN(A) DOCENTE PARA LA ENSEÑANZA DE LA ASIGNATURA DE INGLÉS PARA EL COLEGIO DE ALTO RENDIMIENTO DE LA REGIÓN TUMBES - PLAZO DETERMINADO (007298),MINISTERIO DE EDUCACION,TUMBES - SAN JUAN DE LA VIRGEN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-762,1,"S/. 4,500.00",16/09/2024,27/09/2024
ESPECIALISTA EN NUTRICION,PROGRAMA NACIONAL CUNA MAS,TUMBES - TUMBES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1106,1,"S/. 2,614.19",13/09/2024,26/09/2024
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,PROGRAMA NACIONAL CUNA MAS,TUMBES - ZARUMILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1090,1,"S/. 2,614.19",13/09/2024,26/09/2024
RESPONSABLE DE UNIDAD DESCONCENTRADA DE TUMBES,AUTORIDAD NACIONAL DE INFRAESTRUCTURA,TUMBES - TUMBES,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-431,1,"S/. 10,000.00",13/09/2024,26/09/2024
ASITENTE SOCIAL,UNIDAD DE GESTION EDUCATIVA LOCAL DE TUMBES,TUMBES - TUMBES,276-45,1,"S/. 2,529.65",13/09/2024,26/09/2024
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL DE TUMBES,TUMBES - TUMBES,276-44,1,"S/. 2,044.02",13/09/2024,26/09/2024
