position,institution,location,num_conv,n_vac,payment,begin_date,end_date
CONDUCTOR/A DE VEÍCULO FLUVIAL,DEFENSORIA DEL PUEBLO,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-156,1,"S/. 2,800.00",30/09/2024,14/10/2024
ASISTENTE TÉCNICO EN GESTION SOCIAL,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,UCAYALI - RAYMONDI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-091,1,"S/. 5,114.19",27/09/2024,11/10/2024
DIRECTOR/A,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-263,1,"S/. 8,000.00",27/09/2024,11/10/2024
GESTOR/A INSTITUCIONAL,PROGRAMA NACIONAL ÑPLATAFORMAS DE ACCIÓN PARA LA INCLUSIÓN SOCIAL-PAISÑ,UCAYALI - RAYMONDI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-121,1,"S/. 3,000.00",26/09/2024,10/10/2024
TRADUCTOR E INTERPRETE (ESPECIALIZADO EN LENGUAS ORIGINARIAS Y/O SEÑAS),MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-858,1,"S/. 5,114.19",26/09/2024,10/10/2024
RESPONSABLE DEL PROGRAMA DE VASO DE LECHE,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 4,000.00",25/09/2024,09/10/2024
APOYO ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,5,"S/. 1,400.00",25/09/2024,09/10/2024
APOYO AL CUSTODIO DE VIGILANCIA,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,35,"S/. 1,300.00",25/09/2024,09/10/2024
APOYO EN ACCIONES AL SERENAZGO,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,45,"S/. 1,200.00",25/09/2024,09/10/2024
APOYO EN CARRO RECOLECTOR,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,30,"S/. 1,200.00",25/09/2024,09/10/2024
APOYO EN EL ÁREA DE PARQUES Y JARDINES,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,20,"S/. 1,200.00",25/09/2024,09/10/2024
CHÓFER DE UNIDADES MÓVILES,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,15,"S/. 1,600.00",25/09/2024,09/10/2024
EJECUTOR COACTIVO,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 4,000.00",25/09/2024,09/10/2024
ADMINISTRADOR DEL MERCADO MUNICIPAL N° 1,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 4,000.00",25/09/2024,09/10/2024
PROMOTOR SOCIAL,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,15,"S/. 1,600.00",25/09/2024,09/10/2024
POLICIA MUNICIPAL,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,5,"S/. 1,400.00",25/09/2024,09/10/2024
NOTIFICADOR,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,3,"S/. 1,600.00",25/09/2024,09/10/2024
INSPECTOR MUNICIPAL,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,15,"S/. 1,400.00",25/09/2024,09/10/2024
FISCALIZADOR,MUNICIPALIDAD DISTRITAL DE MANANTAY,UCAYALI - MANANTAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,8,"S/. 1,500.00",25/09/2024,09/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO- SECRETARIA(O) DE OFICINA ZONAL,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,UCAYALI - CALLERIA,LEY 30057-012,1,"S/. 2,457.14",23/09/2024,04/10/2024
CONCURSO PUBLICO DE MERITOS ABIERTO- ANALISTA DE CONTROL DE LA OFERTA DE DROGAS DE OFICINAS ZONALES,COMIS.NAC.PARA DESAR.Y VIDA SIN DROGAS,UCAYALI - CALLERIA,LEY 30057-010,1,"S/. 5,400.00",23/09/2024,04/10/2024
INSPECTOR,"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD, ARMAS, MUNICIONES Y EXPLOSIVOS DE US",UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-124,1,"S/. 3,500.00",23/09/2024,04/10/2024
ASISTENTE ADMINISTRATIVO,"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD, ARMAS, MUNICIONES Y EXPLOSIVOS DE US",UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-123,1,"S/. 3,500.00",23/09/2024,04/10/2024
ANALISTA OPERATIVO PARA LA FIZCALIZACIÓN ADMINISTRATIVA,"SUPERINTENDENCIA NACIONAL DE CONTROL DE SERVICIOS DE SEGURIDAD, ARMAS, MUNICIONES Y EXPLOSIVOS DE US",UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-125,1,"S/. 5,000.00",23/09/2024,04/10/2024
ESPECIALISTA DE LA UNIDAD TERRITORIAL DE UCAYALI,FONDO DE SALUD PARA LA POLICIA NACIONAL,UCAYALI - YARINACOCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-45,1,"S/. 9,000.00",20/09/2024,03/10/2024
EVALUADOR/A CONTABLE,ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO - OSCE,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-223,1,"S/. 4,500.00",20/09/2024,03/10/2024
APOYO TECNICO,UNIDAD EJECUTORA 004 - FONDO DE COOPERACION PARA EL DESARROLLO SOCIAL,UCAYALI - YARINACOCHA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-030,1,"S/. 2,114.19",18/09/2024,01/10/2024
SECRETARIO JUDICIAL,PODER JUDICIAL,UCAYALI - CALLERIA,728-003,1,"S/. 5,670.00",17/09/2024,30/09/2024
AUXILIAR ADMINISTRATIVO II,PODER JUDICIAL,UCAYALI - CALLERIA,728-002,1,"S/. 3,590.00",17/09/2024,30/09/2024
COORDINADOR DE INFORMÁTICA,PODER JUDICIAL,UCAYALI - CALLERIA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-037,1,"S/. 6,222.00",17/09/2024,30/09/2024
VIGILANTE TURNO NOCHE,MUNICIPALIDAD PROVINCIAL DE ATALAYA,UCAYALI - RAYMONDI,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 1,400.00",17/09/2024,30/09/2024
