dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
amazonas,24-09-2024,/data/amazonas/24-09-2024.csv,52,52 puesto(s) encontrado(s) en total.,,bb75dc1d-eafc-4b4d-95c4-c77daadfba9a
ancash,24-09-2024,/data/ancash/24-09-2024.csv,79,79 puesto(s) encontrado(s) en total.,,ef8af80a-139d-4b08-89af-0bcbc17a9e2d
junin,24-09-2024,/data/junin/24-09-2024.csv,250,250 puesto(s) encontrado(s) en total.,,eb63b498-a24d-483c-8d59-2472eb50991e
apurimac,24-09-2024,/data/apurimac/24-09-2024.csv,113,113 puesto(s) encontrado(s) en total.,,75bf3b76-2fa0-419a-924b-d77bd0f09f97
la_libertad,24-09-2024,/data/la_libertad/24-09-2024.csv,234,234 puesto(s) encontrado(s) en total.,,424250e6-def4-46f8-b75a-ac22a6eb6c54
arequipa,24-09-2024,/data/arequipa/24-09-2024.csv,210,210 puesto(s) encontrado(s) en total.,,0453390a-db89-462c-817d-342beca56a52
lambayeque,24-09-2024,/data/lambayeque/24-09-2024.csv,54,54 puesto(s) encontrado(s) en total.,,697db096-1f52-49d4-8cda-8a4dc074b235
ayacucho,24-09-2024,/data/ayacucho/24-09-2024.csv,85,85 puesto(s) encontrado(s) en total.,,a0b5231a-aa9f-4a13-988e-6c8d3d16d995
cajamarca,24-09-2024,/data/cajamarca/24-09-2024.csv,186,186 puesto(s) encontrado(s) en total.,,99167727-1b7e-4622-ad17-296a02ddc8be
callao,24-09-2024,/data/callao/24-09-2024.csv,64,64 puesto(s) encontrado(s) en total.,,c8e96bd0-d8d4-4ec4-8a7c-162dda5d565a
cusco,24-09-2024,/data/cusco/24-09-2024.csv,276,276 puesto(s) encontrado(s) en total.,,912686ff-084f-4b55-9fb2-58f714f4192e
huancavelica,24-09-2024,/data/huancavelica/24-09-2024.csv,111,111 puesto(s) encontrado(s) en total.,,11112a75-bcc1-47f8-962b-a8fb92b36038
huanuco,24-09-2024,/data/huanuco/24-09-2024.csv,163,163 puesto(s) encontrado(s) en total.,,592f3b7f-bb49-4794-ac08-c7819f2f5b7b
ica,24-09-2024,/data/ica/24-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,d379e94f-00e3-4b4a-befc-2da3061158e1
lima,24-09-2024,/data/lima/24-09-2024.csv,1274,1274 puesto(s) encontrado(s) en total.,,470deae2-89b3-4d27-9134-0faaf8e88240
loreto,24-09-2024,/data/loreto/24-09-2024.csv,62,62 puesto(s) encontrado(s) en total.,,91053c50-f15d-4a54-bee2-23942ce468e1
madre_de_dios,24-09-2024,/data/madre_de_dios/24-09-2024.csv,28,28 puesto(s) encontrado(s) en total.,,9bed187d-14bf-4674-bf14-64d61afc6da9
moquegua,24-09-2024,/data/moquegua/24-09-2024.csv,33,33 puesto(s) encontrado(s) en total.,,265bccf5-23e0-492b-91a4-153efa839c96
junin,24-09-2024,/data/junin/24-09-2024.csv,250,250 puesto(s) encontrado(s) en total.,,b5291a31-cad7-47c1-8f3a-a62793737d01
pasco,24-09-2024,/data/pasco/24-09-2024.csv,64,64 puesto(s) encontrado(s) en total.,,cddb1a56-2031-4225-9294-a3a3a0c9c6e8
piura,24-09-2024,/data/piura/24-09-2024.csv,44,44 puesto(s) encontrado(s) en total.,,5230424a-2aa6-46d4-890e-d110fb3a2179
puno,24-09-2024,/data/puno/24-09-2024.csv,153,153 puesto(s) encontrado(s) en total.,,ffaa2456-4662-4848-be2c-5bd53c8a8c1b
san_martin,24-09-2024,/data/san_martin/24-09-2024.csv,35,35 puesto(s) encontrado(s) en total.,,9e3eb553-0a2b-4bb7-86bf-94458daaadde
tacna,24-09-2024,/data/tacna/24-09-2024.csv,66,66 puesto(s) encontrado(s) en total.,,d5a1c73c-c34e-46cc-ad65-a4e4b2ab9721
tumbes,24-09-2024,/data/tumbes/24-09-2024.csv,23,23 puesto(s) encontrado(s) en total.,,7fc20441-6e49-467d-ba39-3c7ae8d06c9a
ucayali,24-09-2024,/data/ucayali/24-09-2024.csv,171,171 puesto(s) encontrado(s) en total.,,b9c5d754-ddd6-46bd-8703-ccc4a1f86dc1
amazonas,25-09-2024,/data/amazonas/25-09-2024.csv,52,52 puesto(s) encontrado(s) en total.,,90874309-f16c-4e01-beba-5c5837baa88c
ancash,25-09-2024,/data/ancash/25-09-2024.csv,79,79 puesto(s) encontrado(s) en total.,,7cd7d4ca-cb32-40c4-81d8-b307e8535d43
apurimac,25-09-2024,/data/apurimac/25-09-2024.csv,120,120 puesto(s) encontrado(s) en total.,,d26bf915-ce2b-4c3b-8ba4-cc75ee67bec6
junin,25-09-2024,/data/junin/25-09-2024.csv,240,240 puesto(s) encontrado(s) en total.,,78bfd95b-ba2a-4a62-9b89-1fe2e6e582d4
arequipa,25-09-2024,/data/arequipa/25-09-2024.csv,205,205 puesto(s) encontrado(s) en total.,,6d04d65c-7dcb-4e84-bbfe-46fc7914a1c5
la_libertad,25-09-2024,/data/la_libertad/25-09-2024.csv,234,234 puesto(s) encontrado(s) en total.,,b0e8e816-a053-4c0c-889c-08df7b26df30
lambayeque,25-09-2024,/data/lambayeque/25-09-2024.csv,53,53 puesto(s) encontrado(s) en total.,,9cf85ed3-206b-42df-a00c-e27685180274
ayacucho,25-09-2024,/data/ayacucho/25-09-2024.csv,81,81 puesto(s) encontrado(s) en total.,,27ba3f37-1c7a-4e95-a7ef-73430a8f8b26
loreto,25-09-2024,/data/loreto/25-09-2024.csv,67,67 puesto(s) encontrado(s) en total.,,95eaf1ee-4982-4a1a-bddc-c32a12ce184d
cajamarca,25-09-2024,/data/cajamarca/25-09-2024.csv,167,167 puesto(s) encontrado(s) en total.,,b78c3399-aba0-4ce8-a208-c41f9185a083
madre_de_dios,25-09-2024,/data/madre_de_dios/25-09-2024.csv,25,25 puesto(s) encontrado(s) en total.,,15ae23a5-52c2-4bb8-80c5-4a10ac39d1b9
moquegua,25-09-2024,/data/moquegua/25-09-2024.csv,34,34 puesto(s) encontrado(s) en total.,,0000bbcb-7ef8-4e99-80b2-2eecd3f49a48
callao,25-09-2024,/data/callao/25-09-2024.csv,57,57 puesto(s) encontrado(s) en total.,,eac9104d-278a-4482-9dcc-90f1aab6938c
pasco,25-09-2024,/data/pasco/25-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,da3def41-bb87-42ba-a672-7303dd01173a
piura,25-09-2024,/data/piura/25-09-2024.csv,41,41 puesto(s) encontrado(s) en total.,,b941b238-932a-4d45-8cfb-2ba305d87a1a
cusco,25-09-2024,/data/cusco/25-09-2024.csv,224,224 puesto(s) encontrado(s) en total.,,02743c6a-712f-4413-908b-230b60ae20cb
puno,25-09-2024,/data/puno/25-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,a1cfe903-a0a8-4cd6-b329-d1f7803f1ac8
san_martin,25-09-2024,/data/san_martin/25-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,3c7c7fe5-9349-4428-bc15-f26d87cc6ed8
lima,25-09-2024,/data/lima/25-09-2024.csv,1326,1326 puesto(s) encontrado(s) en total.,,63223529-0263-49f4-bc53-2950c6a6c7a0
